paper_key	claim_key	target_label	comparison_label	comparison_curie	provenance	exact	target_key
biorxiv:20db10ff-6d71-1014-91a5-bffabd7bad90	biorxiv:20db10ff-6d71-1014-91a5-bffabd7bad90:claim:26f5a0237c0db40bfaed	melanoma cell	fibroblast	CL:0000057	explicit	1.0	melanoma cell
biorxiv:2746af96-6da7-1014-ab14-859a63e4801c	biorxiv:2746af96-6da7-1014-ab14-859a63e4801c:claim:3f353b57c45287c62093	human embryonic stem cell	endothelial cell	CL:0000115	explicit	1.0	human embryonic stem cell
biorxiv:2746af96-6da7-1014-ab14-859a63e4801c	biorxiv:2746af96-6da7-1014-ab14-859a63e4801c:claim:47ad05fb01a5e457ce35	endothelial cell	epithelial cell	CL:0000066	explicit	1.0	endothelial cell
biorxiv:315fa881-726d-1014-9d3d-bbe9b5731a1d	biorxiv:315fa881-726d-1014-9d3d-bbe9b5731a1d:claim:0ff13c26dc3c8194b197	Vγ9Vδ2 gamma delta T cell	gamma delta T cell		explicit		vγ9vδ2 gamma delta t cell
biorxiv:315fa881-726d-1014-9d3d-bbe9b5731a1d	biorxiv:315fa881-726d-1014-9d3d-bbe9b5731a1d:claim:47506d94cb4e7e60a2e8	CD56BrightCD16-negative natural killer cell	CD56DimCD16-positive natural killer cell	CL:0000623	explicit	0.0	cd56brightcd16 negative natural killer cell
biorxiv:315fa881-726d-1014-9d3d-bbe9b5731a1d	biorxiv:315fa881-726d-1014-9d3d-bbe9b5731a1d:claim:f7a484e01358a3ec162f	CD56DimCD16-positive natural killer cell	CD56BrightCD16-negative natural killer cell	CL:0000623	explicit	0.0	cd56dimcd16 positive natural killer cell
biorxiv:35208be1-70ce-1014-9f75-f7d24dac9096	biorxiv:35208be1-70ce-1014-9f75-f7d24dac9096:claim:708f45821e703eb5372f	megakaryocyte-biased megakaryocyte-erythroid progenitor	erythroid-biased megakaryocyte-erythroid progenitor	CL:0000038	explicit	0.0	megakaryocyte biased megakaryocyte erythroid progenitor
biorxiv:35208be1-70ce-1014-9f75-f7d24dac9096	biorxiv:35208be1-70ce-1014-9f75-f7d24dac9096:claim:d4654ce129a6e66c7d38	erythroid-biased megakaryocyte-erythroid progenitor	megakaryocyte-biased megakaryocyte-erythroid progenitor	CL:0000038	explicit	0.0	erythroid biased megakaryocyte erythroid progenitor
biorxiv:37af1a73-74bd-1014-bb95-96ab82111b0d	biorxiv:37af1a73-74bd-1014-bb95-96ab82111b0d:claim:c0c47690c564ef1aac2a	beta cell	other cell types		explicit		beta cell
biorxiv:3912ca11-6e98-1014-9c67-9a3ee3e3b07f	biorxiv:3912ca11-6e98-1014-9c67-9a3ee3e3b07f:claim:7cf3a97f899078daa011	liver sinusoidal endothelial cell	endothelial cell	CL:0000115	explicit	1.0	liver sinusoidal endothelial cell
biorxiv:3912ca11-6e98-1014-9c67-9a3ee3e3b07f	biorxiv:3912ca11-6e98-1014-9c67-9a3ee3e3b07f:claim:8f981b9b330c605e3178	endothelial cell	macrophage	CL:0000235	explicit	1.0	endothelial cell
biorxiv:3912ca11-6e98-1014-9c67-9a3ee3e3b07f	biorxiv:3912ca11-6e98-1014-9c67-9a3ee3e3b07f:claim:8f981b9b330c605e3178	endothelial cell	dendritic cell	CL:0000451	explicit	1.0	endothelial cell
biorxiv:396ad855-6e2e-1014-85f5-9bd33dea0f81	biorxiv:396ad855-6e2e-1014-85f5-9bd33dea0f81:claim:2cd70176d40718e14039	FCGR3A+ monocyte	CD14+ monocyte and macrophage	CL:0000235	explicit	0.0	fcgr3a monocyte
biorxiv:396ad855-6e2e-1014-85f5-9bd33dea0f81	biorxiv:396ad855-6e2e-1014-85f5-9bd33dea0f81:claim:49199d2f06a19c0f41bd	CD8+ T cell	CD4+ T cell	CL:0000084	explicit	1.0	cd8 t cell
biorxiv:396ad855-6e2e-1014-85f5-9bd33dea0f81	biorxiv:396ad855-6e2e-1014-85f5-9bd33dea0f81:claim:6b5f0e7be51b66eac7de	CD4+ T cell	CD8+ T cell	CL:0000084	explicit	1.0	cd4 t cell
biorxiv:396ad855-6e2e-1014-85f5-9bd33dea0f81	biorxiv:396ad855-6e2e-1014-85f5-9bd33dea0f81:claim:acd5a76fc62b5ce0c450	CD14+ monocyte and macrophage	FCGR3A+ monocyte	CL:0000576	explicit	0.0	cd14 monocyte and macrophage
biorxiv:40f54d15-6bfe-1014-9477-a1fa2d43a574	biorxiv:40f54d15-6bfe-1014-9477-a1fa2d43a574:claim:1e62444171d954a6b9db	arterial endothelial cell	vein-derived endothelial cell	CL:0000115	explicit	0.0	arterial endothelial cell
biorxiv:48122146-7aab-1014-a240-edfb3f67c90f	biorxiv:48122146-7aab-1014-a240-edfb3f67c90f:claim:1f3f7f2ab7cdacb8216d	chondrocyte	induced mesenchymal stem cell	CL:0000134	explicit	0.0	chondrocyte
biorxiv:48122146-7aab-1014-a240-edfb3f67c90f	biorxiv:48122146-7aab-1014-a240-edfb3f67c90f:claim:5ba232f301ccbc75ef74	pluripotent stem cell	induced mesenchymal stem cell	CL:0000134	explicit	0.0	pluripotent stem cell
biorxiv:4c4207c3-7213-1014-8a55-9b25fcf723e1	biorxiv:4c4207c3-7213-1014-8a55-9b25fcf723e1:claim:1f1a50a6565dfde612e4	WGA-high memory CD4+ T cell	WGA-low memory CD4+ T cell	CL:0000084	explicit	0.0	wga high memory cd4 t cell
biorxiv:4c4207c3-7213-1014-8a55-9b25fcf723e1	biorxiv:4c4207c3-7213-1014-8a55-9b25fcf723e1:claim:c6dff55f213f54899f11	WGA-high memory CD4+ T cell	WGA-low memory CD4+ T cell	CL:0000084	explicit	0.0	wga high memory cd4 t cell
biorxiv:4c4207c3-7213-1014-8a55-9b25fcf723e1	biorxiv:4c4207c3-7213-1014-8a55-9b25fcf723e1:claim:cc75e3e2b7643b52e5d8	WGA-low memory CD4+ T cell	WGA-high memory CD4+ T cell	CL:0000084	explicit	0.0	wga low memory cd4 t cell
biorxiv:4c4207c3-7213-1014-8a55-9b25fcf723e1	biorxiv:4c4207c3-7213-1014-8a55-9b25fcf723e1:claim:f772026ac3062732a2d9	WGA-high memory CD4+ T cell	WGA-low memory CD4+ T cell	CL:0000084	explicit	0.0	wga high memory cd4 t cell
biorxiv:4d508308-6c00-1014-97df-8810bda21050	biorxiv:4d508308-6c00-1014-97df-8810bda21050:claim:5dcc6831db1b2869478d	abortive lytic cell	unstimulated cell		explicit		abortive lytic cell
biorxiv:4d508308-6c00-1014-97df-8810bda21050	biorxiv:4d508308-6c00-1014-97df-8810bda21050:claim:5dcc6831db1b2869478d	abortive lytic cell	lytic cell		explicit		abortive lytic cell
biorxiv:4d508308-6c00-1014-97df-8810bda21050	biorxiv:4d508308-6c00-1014-97df-8810bda21050:claim:6d40a3117678d34c3a93	late lytic cell	gp350-negative cell		explicit		late lytic cell
biorxiv:4d508308-6c00-1014-97df-8810bda21050	biorxiv:4d508308-6c00-1014-97df-8810bda21050:claim:a86a6e0ebec15a6d2579	unstimulated cell	abortive lytic cell		explicit		unstimulated cell
biorxiv:4d508308-6c00-1014-97df-8810bda21050	biorxiv:4d508308-6c00-1014-97df-8810bda21050:claim:a86a6e0ebec15a6d2579	unstimulated cell	lytic cell		explicit		unstimulated cell
biorxiv:4efb5f41-6da6-1014-a51d-ce90ae1a09db	biorxiv:4efb5f41-6da6-1014-a51d-ce90ae1a09db:claim:569a7d0ffa31602b426a	G1 cycling cell	non-cycling cell		explicit		g1 cycling cell
biorxiv:53fe4c58-6d7e-1014-9234-a9ab6cb90679	biorxiv:53fe4c58-6d7e-1014-9234-a9ab6cb90679:claim:0a13d17d86455a59dfa9	muscularis mucosae smooth muscle cell	myocyte	CL:0000187	explicit	1.0	muscularis mucosae smooth muscle cell
biorxiv:53fe4c58-6d7e-1014-9234-a9ab6cb90679	biorxiv:53fe4c58-6d7e-1014-9234-a9ab6cb90679:claim:774b75216cafbedfed51	interstitial cell of Cajal	smooth muscle cell	CL:0000192	explicit	1.0	interstitial cell of cajal
biorxiv:53fe4c58-6d7e-1014-9234-a9ab6cb90679	biorxiv:53fe4c58-6d7e-1014-9234-a9ab6cb90679:claim:e580e3ae2d33ff5201c5	muscularis propria smooth muscle cell	myocyte	CL:0000187	explicit	1.0	muscularis propria smooth muscle cell
biorxiv:54c905c7-6e9f-1014-9168-935cc2dc841b	biorxiv:54c905c7-6e9f-1014-9168-935cc2dc841b:claim:9f14642e977031473f8e	LBT003 glioblastoma stem cell	glioblastoma stem cell culture	CL:0000034	explicit	0.0	lbt003 glioblastoma stem cell
biorxiv:558bd04f-7a31-1014-843e-87e03b8b4f81	biorxiv:558bd04f-7a31-1014-843e-87e03b8b4f81:claim:4aea11acc0ab847999a1	macrophage-like smooth muscle cell 8	macrophage	CL:0000235	explicit	1.0	macrophage like smooth muscle cell 8
biorxiv:558bd04f-7a31-1014-843e-87e03b8b4f81	biorxiv:558bd04f-7a31-1014-843e-87e03b8b4f81:claim:70daee5a5c61a9b5a254	macrophage-like smooth muscle cell	contractile smooth muscle cell	CL:0000192	explicit	0.0	macrophage like smooth muscle cell
biorxiv:558bd04f-7a31-1014-843e-87e03b8b4f81	biorxiv:558bd04f-7a31-1014-843e-87e03b8b4f81:claim:7dd2d949853083bcf561	macrophage-like smooth muscle cell 8	smooth muscle cell	CL:0000192	explicit	1.0	macrophage like smooth muscle cell 8
biorxiv:558bd04f-7a31-1014-843e-87e03b8b4f81	biorxiv:558bd04f-7a31-1014-843e-87e03b8b4f81:claim:ab842203cd30a8f3b955	macrophage-like smooth muscle cell	contractile smooth muscle cell	CL:0000192	explicit	0.0	macrophage like smooth muscle cell
biorxiv:558bd04f-7a31-1014-843e-87e03b8b4f81	biorxiv:558bd04f-7a31-1014-843e-87e03b8b4f81:claim:ae1a2544fdb58b8ea713	macrophage-like smooth muscle cell 8	contractile smooth muscle cell 1	CL:0000192	explicit	0.0	macrophage like smooth muscle cell 8
biorxiv:558bd04f-7a31-1014-843e-87e03b8b4f81	biorxiv:558bd04f-7a31-1014-843e-87e03b8b4f81:claim:bfe088c2d6d9a850eff7	macrophage-like smooth muscle cell 8	synthetic smooth muscle cell	CL:0000192	explicit	0.0	macrophage like smooth muscle cell 8
biorxiv:55d0fee5-7079-1014-8ef3-9aa3522a8f21	biorxiv:55d0fee5-7079-1014-8ef3-9aa3522a8f21:claim:01890b752eb109eeaa59	monocyte	lymphocyte	CL:0000542	explicit	1.0	monocyte
biorxiv:55d0fee5-7079-1014-8ef3-9aa3522a8f21	biorxiv:55d0fee5-7079-1014-8ef3-9aa3522a8f21:claim:fc3ce8ccae968a9fbe8b	lymphocyte	monocyte	CL:0000576	explicit	1.0	lymphocyte
biorxiv:581b3311-6d06-1014-8bb1-e34795ede71e	biorxiv:581b3311-6d06-1014-8bb1-e34795ede71e:claim:8aeb46ba00ad0ab14bb7	neuroepithelial stem cell	radial glia	CL:0000125	explicit	0.0	neuroepithelial stem cell
biorxiv:5c1d40eb-7190-1014-a458-8ab6cf3c7650	biorxiv:5c1d40eb-7190-1014-a458-8ab6cf3c7650:claim:82241d97330d0fe15c01	ductal-like cell	myoepithelial-like cell		explicit		ductal like cell
biorxiv:5c1d40eb-7190-1014-a458-8ab6cf3c7650	biorxiv:5c1d40eb-7190-1014-a458-8ab6cf3c7650:claim:ae12f8ec8339ae4438b7	ductal-like cell	myoepithelial-like cell		explicit		ductal like cell
biorxiv:5c1d40eb-7190-1014-a458-8ab6cf3c7650	biorxiv:5c1d40eb-7190-1014-a458-8ab6cf3c7650:claim:e214e07947480a280293	ductal-like cell	myoepithelial-like cell		explicit		ductal like cell
biorxiv:5c1d40eb-7190-1014-a458-8ab6cf3c7650	biorxiv:5c1d40eb-7190-1014-a458-8ab6cf3c7650:claim:e9cacc9c63ab3c2f4e4b	myoepithelial-like cell	ductal-like cell		explicit		myoepithelial like cell
biorxiv:5c1d40eb-7190-1014-a458-8ab6cf3c7650	biorxiv:5c1d40eb-7190-1014-a458-8ab6cf3c7650:claim:fc5b8976bac883a81c83	myoepithelial-like cell	ductal-like cell		explicit		myoepithelial like cell
biorxiv:5c1d40eb-7190-1014-a458-8ab6cf3c7650	biorxiv:5c1d40eb-7190-1014-a458-8ab6cf3c7650:claim:fe4d9bcd486a29014e7f	myoepithelial-like cell	ductal-like cell		explicit		myoepithelial like cell
biorxiv:5daa9342-6d02-1014-8cb5-fa421631d820	biorxiv:5daa9342-6d02-1014-8cb5-fa421631d820:claim:247ce5d75de3f2c32db2	exhausted CD8+ T cell	effector CD8+ T cell	CL:0000084	explicit	0.0	exhausted cd8 t cell
biorxiv:5daa9342-6d02-1014-8cb5-fa421631d820	biorxiv:5daa9342-6d02-1014-8cb5-fa421631d820:claim:369b08bd0dbb0756598b	exhausted CD8+ T cell	effector CD8+ T cell	CL:0000084	explicit	0.0	exhausted cd8 t cell
biorxiv:5daa9342-6d02-1014-8cb5-fa421631d820	biorxiv:5daa9342-6d02-1014-8cb5-fa421631d820:claim:c097a15814212168eaf8	pre-exhausted CD8+ T cell	effector CD8+ T cell	CL:0000084	explicit	0.0	pre exhausted cd8 t cell
biorxiv:5dff1c13-6c00-1014-9211-b5130fed8524	biorxiv:5dff1c13-6c00-1014-9211-b5130fed8524:claim:3534973efc7209253497	CMV-negative bystander cell	CMV-positive cell		implicit		cmv negative bystander cell
biorxiv:611ca78b-6e32-1014-bb2a-be11d7247499	biorxiv:611ca78b-6e32-1014-bb2a-be11d7247499:claim:144d8c44e3d716a07604	pyramidal neuron	stellate cell	CL:0000122	explicit	1.0	pyramidal neuron
biorxiv:611ca78b-6e32-1014-bb2a-be11d7247499	biorxiv:611ca78b-6e32-1014-bb2a-be11d7247499:claim:d4129fd7f497f973d5fa	stellate cell	pyramidal neuron	CL:0000598	explicit	1.0	stellate cell
biorxiv:6c7d90a7-6cd2-1014-aa88-ae3f4e676730	biorxiv:6c7d90a7-6cd2-1014-aa88-ae3f4e676730:claim:74b113c76ae7b37be779	cardiac outflow tract cell	ventricular cardiomyocyte	CL:0000746	explicit	0.0	cardiac outflow tract cell
biorxiv:6c7d90a7-6cd2-1014-aa88-ae3f4e676730	biorxiv:6c7d90a7-6cd2-1014-aa88-ae3f4e676730:claim:7eda775c9acea69b9874	outflow tract derivative cell	cardiomyocyte	CL:0000746	explicit	1.0	outflow tract derivative cell
biorxiv:6c7d90a7-6cd2-1014-aa88-ae3f4e676730	biorxiv:6c7d90a7-6cd2-1014-aa88-ae3f4e676730:claim:b65fcfbdad8195539df1	outflow tract derivative cell	cardiomyocyte	CL:0000746	explicit	1.0	outflow tract derivative cell
biorxiv:6c878fac-7162-1014-9b25-c2cbd95b5043	biorxiv:6c878fac-7162-1014-9b25-c2cbd95b5043:claim:49a163f8b90bed9a8934	trophectoderm	inner cell mass		explicit		trophectoderm
biorxiv:6c878fac-7162-1014-9b25-c2cbd95b5043	biorxiv:6c878fac-7162-1014-9b25-c2cbd95b5043:claim:49a163f8b90bed9a8934	trophectoderm	epiblast		explicit		trophectoderm
biorxiv:6c878fac-7162-1014-9b25-c2cbd95b5043	biorxiv:6c878fac-7162-1014-9b25-c2cbd95b5043:claim:49a163f8b90bed9a8934	trophectoderm	hypoblast		explicit		trophectoderm
biorxiv:6ca25eee-7853-1014-8aed-fc8cff0a87e5	biorxiv:6ca25eee-7853-1014-8aed-fc8cff0a87e5:claim:fa964e86b7ac37fc4d27	subpleural fibroblast	mesothelial cell	CL:0000077	explicit	1.0	subpleural fibroblast
biorxiv:6f8501d1-6fb7-1014-a0e2-ce465eab4dbd	biorxiv:6f8501d1-6fb7-1014-a0e2-ce465eab4dbd:claim:7e4aea42ce8e61bd27a3	CD11c+ macrophage	myeloid cell	CL:0000763	explicit	1.0	cd11c macrophage
biorxiv:705dbe14-6f1d-1014-86fa-92dddf16a481	biorxiv:705dbe14-6f1d-1014-86fa-92dddf16a481:claim:702e4e9ad760ea2b2d35	cancer-associated fibroblast	high-grade serous carcinoma cancer cell		explicit		cancer associated fibroblast
biorxiv:71ccac17-6c3e-1014-a6e6-b99fd2cc2f35	biorxiv:71ccac17-6c3e-1014-a6e6-b99fd2cc2f35:claim:369b290697e69ef92e3d	tumor-associated neutrophil	circulating neutrophil	CL:0000080	explicit	1.0	tumor associated neutrophil
biorxiv:7325dd4b-6f8e-1014-8543-942cb0c9e964	biorxiv:7325dd4b-6f8e-1014-8543-942cb0c9e964:claim:7da8bce9b9295067d539	nerve cell	immune cell	CL:0000738	explicit	1.0	nerve cell
biorxiv:74193868-6d98-1014-a02e-d07ed370ea57	biorxiv:74193868-6d98-1014-a02e-d07ed370ea57:claim:593efe6cfc09c04b0a56	mesenchymal stem cell	non-mesenchymal stem cell	CL:0000134	explicit	0.0	mesenchymal stem cell
biorxiv:750a2ba6-6eaa-1014-b156-e23e824a62e0	biorxiv:750a2ba6-6eaa-1014-b156-e23e824a62e0:claim:5f5c13598e73a98366be	central memory T cell	naive T cell	CL:0000084	explicit	1.0	central memory t cell
biorxiv:750a2ba6-6eaa-1014-b156-e23e824a62e0	biorxiv:750a2ba6-6eaa-1014-b156-e23e824a62e0:claim:809e99dd7f43e917641f	effector memory re-expressing CD45RA T cell	effector memory T cell		explicit		effector memory re expressing cd45ra t cell
biorxiv:750a2ba6-6eaa-1014-b156-e23e824a62e0	biorxiv:750a2ba6-6eaa-1014-b156-e23e824a62e0:claim:9271fe3c74a29b086dea	naive T cell	central memory T cell		explicit		naive t cell
biorxiv:771e3d5c-7119-1014-bcb2-db210f671702	biorxiv:771e3d5c-7119-1014-bcb2-db210f671702:claim:d0a1635d3d85b90badb6	outer radial glia	neural progenitor cell	CL:0000047	explicit	1.0	outer radial glia
biorxiv:77d5f6bb-6c27-1014-a74d-a25d8b68d181	biorxiv:77d5f6bb-6c27-1014-a74d-a25d8b68d181:claim:81b56cc676722f17ff9e	epiblast	primitive endoderm		explicit		epiblast
biorxiv:78211bc7-6c0f-1014-bc42-c103d41718b8	biorxiv:78211bc7-6c0f-1014-bc42-c103d41718b8:claim:964ae59d576ef789a92c	IgA plasma cell	IgG plasma cell	CL:0000985	explicit	1.0	iga plasma cell
biorxiv:783f7e3b-7683-1014-81ff-bc1eeadb858f	biorxiv:783f7e3b-7683-1014-81ff-bc1eeadb858f:claim:30f5ef7804a2f2304830	habenula neuron	thalamic and non-neuronal population		explicit		habenula neuron
biorxiv:783f7e3b-7683-1014-81ff-bc1eeadb858f	biorxiv:783f7e3b-7683-1014-81ff-bc1eeadb858f:claim:c1c09d114f88d4cda3d2	medial habenula 2	CHRNB4-expressing medial habenula subpopulation		explicit		medial habenula 2
biorxiv:78e3a11a-7eb2-1014-99eb-f342cda99662	biorxiv:78e3a11a-7eb2-1014-99eb-f342cda99662:claim:9f197a4e2969ce645a3b	induced dopaminergic neuron subgroup	progenitor subgroup	CL:0011020	explicit	0.0	induced dopaminergic neuron subgroup
biorxiv:7d48f408-80c3-1014-8100-959ab60f80b6	biorxiv:7d48f408-80c3-1014-8100-959ab60f80b6:claim:8fab170bf94e6642e799	hepatic stellate cell population two	hepatic stellate cell population one	CL:0000632	explicit	0.0	hepatic stellate cell population two
biorxiv:876ca999-6c0e-1014-8ed9-e7563228589e	biorxiv:876ca999-6c0e-1014-8ed9-e7563228589e:claim:1300fe5c510b7a7308d1	mature B cell	progenitor/precursor B cell	CL:0000817	explicit	0.0	mature b cell
biorxiv:876ca999-6c0e-1014-8ed9-e7563228589e	biorxiv:876ca999-6c0e-1014-8ed9-e7563228589e:claim:17dccdebd76ba7ac873b	granulocytic progenitor	haematopoietic stem cells/multipotent progenitors		explicit		granulocytic progenitor
biorxiv:876ca999-6c0e-1014-8ed9-e7563228589e	biorxiv:876ca999-6c0e-1014-8ed9-e7563228589e:claim:437306f66500dd48074b	megakaryocyte-erythroid-mast progenitor	haematopoietic stem cells/multipotent progenitors		explicit		megakaryocyte erythroid mast progenitor
biorxiv:876ca999-6c0e-1014-8ed9-e7563228589e	biorxiv:876ca999-6c0e-1014-8ed9-e7563228589e:claim:8c6baa5ca286fda2a685	cycling megakaryocyte-erythroid-mast progenitor	megakaryocyte-erythroid-mast progenitor	CL:0000556	explicit	0.0	cycling megakaryocyte erythroid mast progenitor
biorxiv:876ca999-6c0e-1014-8ed9-e7563228589e	biorxiv:876ca999-6c0e-1014-8ed9-e7563228589e:claim:93828bdb17e2591f9565	lympho-myeloid progenitor	haematopoietic stem cells/multipotent progenitors		explicit		lympho myeloid progenitor
biorxiv:876ca999-6c0e-1014-8ed9-e7563228589e	biorxiv:876ca999-6c0e-1014-8ed9-e7563228589e:claim:e4716f555701a1ebc301	cycling haematopoietic stem cells/multipotent progenitors	haematopoietic stem cells/multipotent progenitors		explicit		cycling haematopoietic stem cells multipotent progenitors
biorxiv:876ca999-6c0e-1014-8ed9-e7563228589e	biorxiv:876ca999-6c0e-1014-8ed9-e7563228589e:claim:e9121f15c2f6ffbf4c97	lympho-myeloid progenitor	megakaryocyte-erythroid-mast progenitor	CL:0000556	explicit	0.0	lympho myeloid progenitor
biorxiv:88b6dd17-6fa5-1014-96e8-90837e572e81	biorxiv:88b6dd17-6fa5-1014-96e8-90837e572e81:claim:e98f612c8a81e2f293ac	adult astrocyte	fetal astrocyte	CL:0000127	explicit	0.0	adult astrocyte
biorxiv:8a79edc5-6e0d-1014-bd87-aa1de4068967	biorxiv:8a79edc5-6e0d-1014-bd87-aa1de4068967:claim:6b2ebc6ddc580a59211b	low-density neutrophil	high-density neutrophil	CL:0000775	explicit	0.0	low density neutrophil
biorxiv:8a79edc5-6e0d-1014-bd87-aa1de4068967	biorxiv:8a79edc5-6e0d-1014-bd87-aa1de4068967:claim:9406f3b742b2467549e6	high-density neutrophil	low-density neutrophil	CL:0000775	explicit	0.0	high density neutrophil
biorxiv:9081da13-83e1-1014-ba34-dc521a45201b	biorxiv:9081da13-83e1-1014-ba34-dc521a45201b:claim:2b2361e280cc98b71ad0	minimal residual disease cell	untreated cell		explicit		minimal residual disease cell
biorxiv:9263ba65-6c09-1014-b701-af82efb9455d	biorxiv:9263ba65-6c09-1014-b701-af82efb9455d:claim:644e72f80f1702d18eb1	early-primed for differentiation cell	core pluripotent and proliferative cell		explicit		early primed for differentiation cell
biorxiv:9263ba65-6c09-1014-b701-af82efb9455d	biorxiv:9263ba65-6c09-1014-b701-af82efb9455d:claim:d02f3af744af543f2f0f	proliferative pluripotent cell	core pluripotent cell		explicit		proliferative pluripotent cell
biorxiv:9263ba65-6c09-1014-b701-af82efb9455d	biorxiv:9263ba65-6c09-1014-b701-af82efb9455d:claim:e60b5bd1f17a41027e4d	late-primed for differentiation cell	core pluripotent and proliferative cell		explicit		late primed for differentiation cell
biorxiv:9338c4d5-712d-1014-b47b-dc1970abe2d9	biorxiv:9338c4d5-712d-1014-b47b-dc1970abe2d9:claim:20c66ebe9df118ef1da8	naïve human pluripotent stem cell	primed human pluripotent stem cell	CL:0002248	explicit	0.0	naïve human pluripotent stem cell
biorxiv:9912495b-7074-1014-acf9-d95bb2127278	biorxiv:9912495b-7074-1014-acf9-d95bb2127278:claim:b61186a36b16c5ae2255	peripheral blood mononuclear cell	B cell	CL:0000236	explicit	1.0	peripheral blood mononuclear cell
biorxiv:9912495b-7074-1014-acf9-d95bb2127278	biorxiv:9912495b-7074-1014-acf9-d95bb2127278:claim:b61186a36b16c5ae2255	peripheral blood mononuclear cell	natural killer cell	CL:0000623	explicit	1.0	peripheral blood mononuclear cell
biorxiv:99e5c433-6bf4-1014-a840-83babdf09f03	biorxiv:99e5c433-6bf4-1014-a840-83babdf09f03:claim:9b037657e855b722738d	bystander B cell	B cell from healthy control	CL:0000236	explicit	0.0	bystander b cell
biorxiv:9aa22010-6e01-1014-bc26-9535140d955f	biorxiv:9aa22010-6e01-1014-bc26-9535140d955f:claim:6e9e5ad4173d12b90993	rete ovarii cell	pre-granulosa cell	CL:4033066	explicit	1.0	rete ovarii cell
biorxiv:9aa22010-6e01-1014-bc26-9535140d955f	biorxiv:9aa22010-6e01-1014-bc26-9535140d955f:claim:6e9e5ad4173d12b90993	rete ovarii cell	surface epithelial cell	CL:0000066	explicit	0.0	rete ovarii cell
biorxiv:9aa22010-6e01-1014-bc26-9535140d955f	biorxiv:9aa22010-6e01-1014-bc26-9535140d955f:claim:c4497fdb0083ac91a7e0	Sertoli cell	mesonephric/epididymis epithelial cell	CL:0000066	explicit	0.0	sertoli cell
biorxiv:9aa22010-6e01-1014-bc26-9535140d955f	biorxiv:9aa22010-6e01-1014-bc26-9535140d955f:claim:cabf7cc972f7c885b332	rete testis epithelial cell	mesonephric/epididymis epithelial cell	CL:0000066	explicit	0.0	rete testis epithelial cell
biorxiv:9c7f8281-6c21-1014-a6df-b6c543b29cb8	biorxiv:9c7f8281-6c21-1014-a6df-b6c543b29cb8:claim:61aa9b40e0f2a4ad2332	B cell	antibody-secreting cell		explicit		b cell
