term_type	curie	observed_label	current_exact	semantic_exact	match_source	canonical_label	exact_synonyms	obsolete
celltype	CL:0000057	CD34-high fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	CHSY3 MECOM Fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	COCH-positive fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	COL1A1-high fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	COL3A1 PI16 Fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	COL6A6 FNDC1 Fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	COL6A6-positive fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	CREB5 PRG4 Fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	CTHRC1+ fibroblast population	0	0	none	fibroblast		0
celltype	CL:0000057	CTHRC1-expressing fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	CTHRC1-expressing pathologic fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	CTHRC1-positive fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	CTHRC1-positive pathologic fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	Cluster-1 fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	Cluster-2 fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	Cluster-4 fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	Col13a1-positive fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	EBF1-positive fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	F2RL2-positive fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	FBLN1 hi fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	FGF14 THBS4 Fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	FGF14-positive IL6-positive fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	FGF14-positive IL6-positive fibroblast subtype	0	0	none	fibroblast		0
celltype	CL:0000057	HAS1 high fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	HAS1-high fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	KERA TNMD Fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	KLF+ fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	LGR5-positive fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	MAB21L1-positive fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	MFAP5-high fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	NEGR1 SCN7A Fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	NR4A1 hi fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	PDGFR+ fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	PDGFRA-positive fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	PLIN2-positive fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	POSTN-positive fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	PTGDS-positive fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	RARRES1-positive fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	RUNX3+ fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	SFRP2-high PRSS23-positive WIF1-negative fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	SFRP2-high/DPP4-expressing progenitor fibroblast population	0	0	none	fibroblast		0
celltype	CL:0000057	SFRP2-positive fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	SPINT2-high fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	TNFRSF21-positive fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	Type I perivascular fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	Type II perivascular fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	Type III perivascular fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	WIF1-high fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	WNT5A-positive/PDGFRA-positive fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	activated fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	activated fibroblast 4	0	0	none	fibroblast		0
celltype	CL:0000057	active fibroblast cluster 11	0	0	none	fibroblast		0
celltype	CL:0000057	active fibroblast cluster 12	0	0	none	fibroblast		0
celltype	CL:0000057	active fibroblast cluster 3	0	0	none	fibroblast		0
celltype	CL:0000057	active fibroblast cluster 6	0	0	none	fibroblast		0
celltype	CL:0000057	active fibroblast cluster 7	0	0	none	fibroblast		0
celltype	CL:0000057	adventitial-type fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	alveolar fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	autosomal dominant polycystic kidney disease-specific fibroblast subtype	0	0	none	fibroblast		0
celltype	CL:0000057	cancer-associated fibroblast 1	0	0	none	fibroblast		0
celltype	CL:0000057	cancer-associated fibroblast 2	0	0	none	fibroblast		0
celltype	CL:0000057	canonical fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	chemotactic fibroblast cluster 3	0	0	none	fibroblast		0
celltype	CL:0000057	ciliary body fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	ciliary fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	conventional fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	corneal stromal fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	crypt fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	decidual fibroblast 2	0	0	none	fibroblast		0
celltype	CL:0000057	decidualized fibroblast cell	0	0	none	fibroblast		0
celltype	CL:0000057	dermal papilla fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	dermal papilla-associated fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	disease-associated fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	dividing fibroblasts/mural cells	0	0	none	fibroblast		0
celltype	CL:0000057	elastic fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	end-stage osteoarthritis pain-associated synovial fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	end-stage osteoarthritis synovial fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	endoneurial nerve-associated fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	fascial fibroblast 1	0	0	none	fibroblast		0
celltype	CL:0000057	fascial fibroblast 2	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast	1	1	canonical	fibroblast		0
celltype	CL:0000057	fibroblast (COL1A1)	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast (DPT)	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast (FN1)	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast (STAR)	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast 1	1	0	none	fibroblast		0
celltype	CL:0000057	fibroblast 2	1	0	none	fibroblast		0
celltype	CL:0000057	fibroblast 3	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast 4	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast 5	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast 6	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast 7	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast FB-1	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast FB-2	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast FB-4	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast FB-5	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast H.Fib 1.3, 1.4, and 1.5	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast I	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast II	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast III	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast IV	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast SFRP4 cell state	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast cell	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast cluster 0	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast cluster 1	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast cluster 1.2	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast cluster 2	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast cluster 4	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast cluster 6	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast cluster 7	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast cluster C10	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast cluster C17	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast cluster C22	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast cluster C28	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast cluster C29	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast cluster C31	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast cluster C32	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast cluster C5	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast major cell state	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast matrix cell state	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast population	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast prematrix cell state	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast state 1	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast state 2	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast state F10	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast state F11	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast state F12	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast state F13	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast state F3	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast state F4	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast state F5	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast state F6	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast state F7	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast state F8	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast state F9	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast subcluster 3	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast subcluster 4	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast subcluster 9	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast subpopulation	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast subpopulation Fb3	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast subpopulation Fb4	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast subpopulation Fb5	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast subpopulation Fb6	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast subpopulation Fb7	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast subpopulation Fb8	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast subpopulation Fb9	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast subtype 1	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast subtype 3	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast subtype 7	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast subtype FB1	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast subtype FB2	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast subtype FB4	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast subtype FIB1 and FIB2	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast type 1	1	0	none	fibroblast		0
celltype	CL:0000057	fibroblast type 2	1	0	none	fibroblast		0
celltype	CL:0000057	fibroblast with elastic fiber differentiation	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast-dependent induced alveolar type II cell	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast-like cell	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast-like population S0	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast-like population S2	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast-like population S4	0	0	none	fibroblast		0
celltype	CL:0000057	fibroblast-like population S5	0	0	none	fibroblast		0
celltype	CL:0000057	gut-associated lymphoid tissue fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	high collagen expressing fibroblast population	0	0	none	fibroblast		0
celltype	CL:0000057	high extracellular matrix producing fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	immune recruiting fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	inflammation-associated fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	inflammatory fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	inflammatory fibroblast FB-3	0	0	none	fibroblast		0
celltype	CL:0000057	interfollicular and medullary fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	interstitial fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	intradetrusor fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	iris fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	iris stromal fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	lamina propria fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	limbal fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	lung alveolar fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	major interstitial fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	matrix fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	matrix fibroblast 1	0	0	none	fibroblast		0
celltype	CL:0000057	matrix fibroblast 2	0	0	none	fibroblast		0
celltype	CL:0000057	matrix fibroblast subtype	0	0	none	fibroblast		0
celltype	CL:0000057	mature fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	mature fibroblast cluster 0	0	0	none	fibroblast		0
celltype	CL:0000057	mature fibroblast cluster 1	0	0	none	fibroblast		0
celltype	CL:0000057	mature fibroblast cluster 2	0	0	none	fibroblast		0
celltype	CL:0000057	mature fibroblast cluster 3	0	0	none	fibroblast		0
celltype	CL:0000057	mature fibroblast cluster 5	0	0	none	fibroblast		0
celltype	CL:0000057	mature fibroblast cluster 8	0	0	none	fibroblast		0
celltype	CL:0000057	mature fibroblast cluster 9	0	0	none	fibroblast		0
celltype	CL:0000057	melanoma-associated fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	migratory fibroblast subtype FB1	0	0	none	fibroblast		0
celltype	CL:0000057	minor fibroblast population	0	0	none	fibroblast		0
celltype	CL:0000057	minor interstitial fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	mucosa-associated fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	muscle-embedded interstitial fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	neural fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	neuritogenesis-associated synovial fibroblast subset	0	0	none	fibroblast		0
celltype	CL:0000057	normal fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	papillary fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	pathologic CTHRC1+ fibroblast population	0	0	none	fibroblast		0
celltype	CL:0000057	pathological fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	peribronchial fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	perineurial nerve-associated fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	periodontal ligament fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	periurothelial fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	perivascular fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	pro-fibrotic fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	pro-inflammatory fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	pro-inflammatory fibroblast-like population S6	0	0	none	fibroblast		0
celltype	CL:0000057	progenitor fibroblast population	0	0	none	fibroblast		0
celltype	CL:0000057	proliferative fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	proliferative fibroblast cluster 10	0	0	none	fibroblast		0
celltype	CL:0000057	proliferative fibroblast cluster 4	0	0	none	fibroblast		0
celltype	CL:0000057	proliferative fibroblast cluster 6	0	0	none	fibroblast		0
celltype	CL:0000057	proliferative fibroblast cluster 7	0	0	none	fibroblast		0
celltype	CL:0000057	proliferative fibroblast cluster 8	0	0	none	fibroblast		0
celltype	CL:0000057	proliferative fibroblast cluster 9	0	0	none	fibroblast		0
celltype	CL:0000057	reticular dermal and hypodermal fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	reticular fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	scleral fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	secretory-papillary fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	secretory-reticular fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	senescent fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	stromal 1 fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	stromal 2 fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	stromal 3 fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	stromal 4 fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	stromal fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	stromal/fibroblast cell	0	0	none	fibroblast		0
celltype	CL:0000057	subepithelial fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	submucosa-associated fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	synovial fibroblast cluster 0	0	0	none	fibroblast		0
celltype	CL:0000057	synovial fibroblast cluster 1	0	0	none	fibroblast		0
celltype	CL:0000057	synovial fibroblast cluster 2	0	0	none	fibroblast		0
celltype	CL:0000057	synovial fibroblast cluster 3	0	0	none	fibroblast		0
celltype	CL:0000057	synovial fibroblast cluster 4	0	0	none	fibroblast		0
celltype	CL:0000057	synovial fibroblast cluster 5	0	0	none	fibroblast		0
celltype	CL:0000057	synovial fibroblast cluster 6	0	0	none	fibroblast		0
celltype	CL:0000057	synovial fibroblast from early osteoarthritis painful sites	0	0	none	fibroblast		0
celltype	CL:0000057	synovial fibroblast from end-stage osteoarthritis painful sites	0	0	none	fibroblast		0
celltype	CL:0000057	synovial fibroblast subset from early osteoarthritis painful sites	0	0	none	fibroblast		0
celltype	CL:0000057	synovial fibroblast subset from painful synovial sites in early osteoarthritis	0	0	none	fibroblast		0
celltype	CL:0000057	systemic sclerosis SFRP2-high PRSS23-positive fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	systemic sclerosis fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	trabecular meshwork fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	transitional fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	uveal fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	vascular fibroblast	0	0	none	fibroblast		0
celltype	CL:0000057	villus fibroblast	0	0	none	fibroblast		0
celltype	CL:0000059	ameloblast	1	1	canonical	ameloblast	amelocyte | enamel secreting cell	0
celltype	CL:0000059	differentiating ameloblast	0	0	none	ameloblast	amelocyte | enamel secreting cell	0
celltype	CL:0000060	odontoblast	1	1	canonical	odontoblast		0
celltype	CL:0000060	osteoblast/odontoblast	0	0	none	odontoblast		0
celltype	CL:0000062	osteoblast	1	1	canonical	osteoblast		0
celltype	CL:0000062	pre-osteoblast	0	0	none	osteoblast		0
celltype	CL:0000064	SCGB3A2-ciliated cell	0	0	none	ciliated cell		0
celltype	CL:0000064	acute-phase response positive ciliated cell	0	0	none	ciliated cell		0
celltype	CL:0000064	ciliated cell	1	1	canonical	ciliated cell		0
celltype	CL:0000064	developing ciliated cell	0	0	none	ciliated cell		0
celltype	CL:0000064	hyper-infected ciliated cell	0	0	none	ciliated cell		0
celltype	CL:0000064	interferon-responsive ciliated cell	0	0	none	ciliated cell		0
celltype	CL:0000064	mature ciliated cell	0	0	none	ciliated cell		0
celltype	CL:0000064	mucous ciliated cell	0	0	none	ciliated cell		0
