ablation	ablation_cl_id	ablation_cl_label	ablation_confidence	ablation_rationale	ablation_relation_to_full	collection	common_cl_id	common_cl_label	doi	full_cl_id	full_cl_label	full_confidence	full_rationale	gene_names	paper_id	profile_id	reported_label	title	year
label_context	CL:0000898	naive T cell	high	The profile describes CCR7+SELL+IL7R+TCF7+ cells identified as naive T cells or central memory T cells (TCMs), matching the naive T cell phenotype (CCR7-positive, CD127/IL7R-positive) but the label encompasses both naive and TCM populations.	same_term	biorxiv	CL:0000898	naive T cell	10.1101/2023.05.23.541821	CL:0000898	naive T cell	high	The marker profile CCR7+SELL+IL7R+TCF7+ matches the naive T cell phenotype (CCR7-positive, CD127/IL7R-positive), though the reported label includes both naive T cells and central memory T cells which share overlapping markers.	"[""CCR7"", ""SELL"", ""IL7R"", ""TCF7""]"	241	1861	NAIVE T CELLS OR TCMS	Enhanced Annotation of CD45RA to Distinguish T cell Subsets in Single Cell RNA-seq via Machine Learning	2023
marker_context	CL:0000904	central memory CD4-positive, alpha-beta T cell	high	The marker genes CCR7, SELL, IL7R, and TCF7 are characteristic of central memory T cells, and the paper context specifically discusses CD45RA for distinguishing naïve/central memory T cells.	shared_parent	biorxiv	CL:0002419	mature T cell	10.1101/2023.05.23.541821	CL:0000898	naive T cell	high	The marker profile CCR7+SELL+IL7R+TCF7+ matches the naive T cell phenotype (CCR7-positive, CD127/IL7R-positive), though the reported label includes both naive T cells and central memory T cells which share overlapping markers.	"[""CCR7"", ""SELL"", ""IL7R"", ""TCF7""]"	241	1861	NAIVE T CELLS OR TCMS	Enhanced Annotation of CD45RA to Distinguish T cell Subsets in Single Cell RNA-seq via Machine Learning	2023
label_context	CL:0000904	central memory CD4-positive, alpha-beta T cell	high	The reported label 'TCM' (central memory T cells) with markers SELL, TCF7, LEF1, and CCR7 in the CD4+ T cell compartment directly matches the definition of central memory CD4-positive, alpha-beta T cells which are CCR7-positive.	same_term	biorxiv	CL:0000904	central memory CD4-positive, alpha-beta T cell	10.1101/2024.04.15.589544	CL:0000904	central memory CD4-positive, alpha-beta T cell	high	The marker genes SELL, TCF7, LEF1, and CCR7 precisely match the CCR7-positive phenotype defining central memory CD4+ T cells (TCM).	"[""SELL"", ""TCF7"", ""LEF1"", ""CCR7""]"	300	2264	TCM	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	2024
marker_context	CL:0000904	central memory CD4-positive, alpha-beta T cell	high	The markers SELL, TCF7, LEF1, and CCR7 are characteristic of central memory T cells, which express CCR7 and lymphoid homing markers.	same_term	biorxiv	CL:0000904	central memory CD4-positive, alpha-beta T cell	10.1101/2024.04.15.589544	CL:0000904	central memory CD4-positive, alpha-beta T cell	high	The marker genes SELL, TCF7, LEF1, and CCR7 precisely match the CCR7-positive phenotype defining central memory CD4+ T cells (TCM).	"[""SELL"", ""TCF7"", ""LEF1"", ""CCR7""]"	300	2264	TCM	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	2024
label_context	CL:0020031	CD8-positive exhausted alpha-beta T cell	high	The reported label 'TEX' refers to exhausted T cells expressing CD8, checkpoint genes (HAVCR2, PDCD1), and cytotoxic markers (PRF1, IFNG), matching the definition of CD8-positive exhausted alpha-beta T cells.	same_term	biorxiv	CL:0020031	CD8-positive exhausted alpha-beta T cell	10.1101/2024.04.15.589544	CL:0020031	CD8-positive exhausted alpha-beta T cell	high	The profile describes exhausted CD8+ T cells expressing checkpoint genes HAVCR2 (TIM-3) and PDCD1 (PD-1), which are defining features of CD8-positive exhausted alpha-beta T cells.	"[""HAVCR2"", ""PDCD1"", ""PRF1"", ""IFNG"", ""CXCR3"", ""CXCL13""]"	300	2268	TEX	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	2024
marker_context	CL:0020031	CD8-positive exhausted alpha-beta T cell	high	The marker profile shows HAVCR2, PDCD1 (exhaustion markers), PRF1, IFNG (cytotoxic/effector markers), and CXCR3, CXCL13 which are characteristic of exhausted CD8+ T cells in the tumor microenvironment.	same_term	biorxiv	CL:0020031	CD8-positive exhausted alpha-beta T cell	10.1101/2024.04.15.589544	CL:0020031	CD8-positive exhausted alpha-beta T cell	high	The profile describes exhausted CD8+ T cells expressing checkpoint genes HAVCR2 (TIM-3) and PDCD1 (PD-1), which are defining features of CD8-positive exhausted alpha-beta T cells.	"[""HAVCR2"", ""PDCD1"", ""PRF1"", ""IFNG"", ""CXCR3"", ""CXCL13""]"	300	2268	TEX	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	2024
label_context	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	high	The profile describes naive-like CD4+ T cells (TN) expressing SELL, TCF7, LEF1, and CCR7, which are canonical markers of naive CD4+ T cells.	same_term	biorxiv	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	10.1101/2024.04.15.589544	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	high	The marker genes SELL, TCF7, LEF1, and CCR7 and the description of naive-like CD4+ T cells match the phenotype of naive thymus-derived CD4-positive, alpha-beta T cells which are CCR7-positive and CD62L-positive (encoded by SELL).	"[""SELL"", ""TCF7"", ""LEF1"", ""CCR7""]"	300	2269	TN	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	2024
marker_context	CL:0000904	central memory CD4-positive, alpha-beta T cell	high	The markers SELL, TCF7, LEF1, and CCR7 are characteristic of central memory T cells, which express CCR7 and lymphoid homing markers.	shared_parent	biorxiv	CL:0000624	CD4-positive, alpha-beta T cell	10.1101/2024.04.15.589544	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	high	The marker genes SELL, TCF7, LEF1, and CCR7 and the description of naive-like CD4+ T cells match the phenotype of naive thymus-derived CD4-positive, alpha-beta T cells which are CCR7-positive and CD62L-positive (encoded by SELL).	"[""SELL"", ""TCF7"", ""LEF1"", ""CCR7""]"	300	2269	TN	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	2024
label_context	CL:0002677	naive regulatory T cell	high	The profile shows elevated expression of naive markers (LEF1, SELL, CCR7, TCF7) in a regulatory T cell population, matching the definition of a naive regulatory T cell that has not encountered antigen.	same_term	biorxiv	CL:0002677	naive regulatory T cell	10.1101/2024.12.31.630523	CL:0002677	naive regulatory T cell	high	The marker profile shows elevated expression of naive markers (LEF1, SELL, CCR7, TCF7) in a regulatory T cell subset, matching the definition of a naive regulatory T cell that has not encountered antigen.	"[""LEF1"", ""SELL"", ""CCR7"", ""TCF7""]"	455	3499	TREG.1	Acquisition of discrete immune suppressive barriers contributes to the initiation and progression of preinvasive to invasive human lung cancer	2025
marker_context	CL:0000904	central memory CD4-positive, alpha-beta T cell	high	The marker genes LEF1, SELL, CCR7, and TCF7 are canonical markers of central memory T cells, with CCR7 being the defining marker for central memory CD4+ T cells.	shared_parent	biorxiv	CL:0000624	CD4-positive, alpha-beta T cell	10.1101/2024.12.31.630523	CL:0002677	naive regulatory T cell	high	The marker profile shows elevated expression of naive markers (LEF1, SELL, CCR7, TCF7) in a regulatory T cell subset, matching the definition of a naive regulatory T cell that has not encountered antigen.	"[""LEF1"", ""SELL"", ""CCR7"", ""TCF7""]"	455	3499	TREG.1	Acquisition of discrete immune suppressive barriers contributes to the initiation and progression of preinvasive to invasive human lung cancer	2025
label_context	CL:0000235	macrophage	high	TAM (tumor-associated macrophage) is explicitly described as a macrophage subtype in glioblastoma with classical macrophage markers including C1QA, C1QB, C1QC, and APOE.	same_term	biorxiv	CL:0000235	macrophage	10.1101/2024.05.15.594316	CL:0000235	macrophage	high	TAM (tumor-associated macrophage) expressing classical macrophage markers (C1QA, APOE, CD74, SPP1) and microglia markers (P2RY12, TMEM119) matches the general macrophage definition.	"[""P2RY12"", ""TMEM119"", ""BHLHE41"", ""SORL1"", ""SPRY1"", ""C1QA"", ""APOE"", ""CD74"", ""SPP1"", ""C1QB"", ""C1QC""]"	492	3837	TAM	Single-cell transcriptomics reveals immunosuppressive microenvironment and highlights stumor-promoting macrophage cells in Glioblastoma	2024
marker_context	CL:0000890	M2 macrophage	high	The marker profile includes P2RY12, TMEM119 (microglial/brain macrophage markers), C1QA/B/C, APOE, CD74, and SPP1, consistent with tumor-associated macrophages showing M2 polarization as described in the paper abstract.	marker_is_descendant	biorxiv	CL:0000235	macrophage	10.1101/2024.05.15.594316	CL:0000235	macrophage	high	TAM (tumor-associated macrophage) expressing classical macrophage markers (C1QA, APOE, CD74, SPP1) and microglia markers (P2RY12, TMEM119) matches the general macrophage definition.	"[""P2RY12"", ""TMEM119"", ""BHLHE41"", ""SORL1"", ""SPRY1"", ""C1QA"", ""APOE"", ""CD74"", ""SPP1"", ""C1QB"", ""C1QC""]"	492	3837	TAM	Single-cell transcriptomics reveals immunosuppressive microenvironment and highlights stumor-promoting macrophage cells in Glioblastoma	2024
