mode	name_match	marker_overlap	reviewed_result	review_confidence	review_class	classification_note	pairwise_assessment	followup_flag	jaccard	paper_1	paper_title_1	cell_type_1	markers_1	shared_markers	unique_markers_1	context_summary_1	context_snippet_1	manuscript_1	evidence_line_1	paper_2	paper_title_2	cell_type_2	markers_2	unique_markers_2	context_summary_2	context_snippet_2	manuscript_2	evidence_line_2	interpretation_note_1	interpretation_note_2	interpretation_note_3	labels	pair_id
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Context distinction	high	broadMatch	Paper 2 label is broader than Paper 1 label. Same epithelial lineage with disease-context difference carcinoma label versus epithelial compartment label	Carcinoma cell and epithelial share epithelial markers; this connects disease/tumor context to a broad epithelial lineage label.		1.0	hca:0032_10.15252_msb.20209682_ea064ade0e	A single cell atlas of the human liver tumor microenvironment	CARCINOMA CELL	KRT18; EPCAM; KRT8	KRT18; EPCAM; KRT8		liver tumor microenvironment	Cells from the malignant liver sites included carcinoma cells, marked by KRT8, KRT18, and EPCAM (Puram et al , 2017 ; Fig 1B ) and diverse TME cell populations, including fibroblasts, endothelial cells, and immune cells (Fig 1C ).	data/hca/manuscripts/0032_10.15252_msb.20209682_ea064ade0e/manuscript.md	20	hca:0481_10.1016_j.immuni.2023.01.002_2da3d3f446	The landscape of immune dysregulation in Crohn's disease revealed through single-cell transcriptomic profiling in the ileum and colon	EPITHELIAL	KRT18; EPCAM; KRT8		Crohn disease intestinal atlas	Cell clusters for each location were first manually classified into three compartments based on expression of known marker genes: Epithelial ( EPCAM , KRT8 , and KRT18 ), Stromal ( CDH5 , COL1A1 , COL1A2 , COL6A2 , and VWF ), and Immune ( CD45/PTPRC , CD3D , CD3G , CD3E , CD79A , CD79B , CD14 , CD16 , CD68 , CD83 , CSF1R , FCER1G ).	data/hca/manuscripts/0481_10.1016_j.immuni.2023.01.002_2da3d3f446/manuscript.md	257	carcinoma label versus epithelial compartment label	EPCAM/KRT8/KRT18 mark epithelial identity; carcinoma reflects malignant context.	liver tumor microenvironment versus Crohn disease intestinal atlas	CARCINOMA CELL vs EPITHELIAL	P11
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Context distinction	high	broadMatch	Paper 2 label is broader than Paper 1 label. Macrophage subtype mapped to broad macrophage identity study-specific cluster code versus broad lineage label	Mac3 is a study-specific macrophage cluster distinguished by complement genes and CD163, while the neighbor is a classical macrophage label with the same markers. This maps a cluster code onto macrophage subtype biology.		1.0	hca:0099_10.1126_sciimmunol.abl9165_5f9974d5f2	Classification of human chronic inflammatory skin disease based on single-cell immune profiling	MAC3	C1QC; C1QB; CD163	C1QC; C1QB; CD163		chronic inflammatory skin disease	Two were distinguished by complement transcripts C1QB and C1QC as well as the scavenger receptor CD163 (Mac1 and Mac3), another by alternative activation and suppression markers NR4A1, NR4A2, KLF4 (Mac2) ( 12 ), and the fourth by monocyte markers CD14 and S100A9 (Mac4).	data/hca/manuscripts/0099_10.1126_sciimmunol.abl9165_5f9974d5f2/manuscript.md	153	hca:0481_10.1016_j.immuni.2023.01.002_2da3d3f446	The landscape of immune dysregulation in Crohn's disease revealed through single-cell transcriptomic profiling in the ileum and colon	MACROPHAGE	C1QC; C1QB; CD163		Crohn disease immune atlas	Myeloid cells were sub-clustered into Mast cells ( GATA2, CPA3, HPGDS ), classical Macrophages ( CD163, C1QB, C1QC ), classical Monocytes ( FCN1, S100A4, S100A6 ), DC1 ( CLEC9A, XCR1 ) and DC2 ( CLEC10A, FCER1A ).	data/hca/manuscripts/0481_10.1016_j.immuni.2023.01.002_2da3d3f446/manuscript.md	258	study-specific cluster code versus broad lineage label	C1QB/C1QC/CD163 map Mac3 to a complement/CD163 macrophage subtype.	chronic inflammatory skin disease versus Crohn disease immune atlas	MAC3 vs MACROPHAGE	P12
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Context distinction	high	broadMatch	Paper 2 label is broader than Paper 1 label. Same monocyte identity at different naming granularity marker-coded cluster label versus broad monocyte label	CD.Mono.FCN1.S100A4 is a marker-coded monocyte label and the neighbor is a classical monocyte label; the shared markers FCN1/S100A4/S100A6 map the coded label to monocyte identity.		1.0	hca:0109_10.7554_elife.91792.1_056dda27be	Concerted changes in the pediatric single-cell intestinal ecosystem before and after anti-TNF blockade	CD.MONO.FCN1.S100A4	FCN1; S100A4; S100A6	FCN1; S100A4; S100A6		pediatric intestinal ecosystem study	CD.Mono.FCN1.S100A4 was characterized by S100A4, S100A6, and FCN1 expression.	data/hca/manuscripts/0109_10.7554_elife.91792.1_056dda27be/manuscript.md	388	hca:0481_10.1016_j.immuni.2023.01.002_2da3d3f446	The landscape of immune dysregulation in Crohn's disease revealed through single-cell transcriptomic profiling in the ileum and colon	MONOCYTE	FCN1; S100A4; S100A6		Crohn disease immune atlas	Myeloid cells were sub-clustered into Mast cells ( GATA2, CPA3, HPGDS ), classical Macrophages ( CD163, C1QB, C1QC ), classical Monocytes ( FCN1, S100A4, S100A6 ), DC1 ( CLEC9A, XCR1 ) and DC2 ( CLEC10A, FCER1A ).	data/hca/manuscripts/0481_10.1016_j.immuni.2023.01.002_2da3d3f446/manuscript.md	258	marker-coded cluster label versus broad monocyte label	FCN1/S100A4/S100A6 resolve the coded label as monocyte.	pediatric intestinal ecosystem study versus Crohn disease immune atlas	CD.MONO.FCN1.S100A4 vs MONOCYTE	P13
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Context distinction	high	relatedMatch	Labels are biologically related through markers or context but are not equivalent. Shared inflammatory myeloid program, identity may differ classical monocyte label versus MDSC disease-context label	Classical monocytes and MDSC share S100A8/S100A9/S100A12. The marker bridge captures an inflammatory/immature myeloid program that different studies name as classical monocyte or MDSC.		1.0	hca:0113_10.1101_2021.04.28.441762_c83625bbe4	Cross-tissue immune cell analysis reveals tissue-specific adaptations and clonal architecture in humans	CLASSICAL	S100A8; S100A9; S100A12	S100A8; S100A9; S100A12		cross-tissue immune atlas	In addition to three subsets of classical S100A8/9/12+ monocytes, we identified one non-classical monocyte subtype expressing FCGR3A and CX3CR1, and an intermediate monocyte subtype mainly restricted to the bone marrow with modest CD14 expression ([Fig. 2A,B](441762v2_fig2.tif)).	data/hca/manuscripts/0113_10.1101_2021.04.28.441762_c83625bbe4/manuscript.md	102	hca:0349_10.1038_s41467-023-36296-4_67ae3c1e19	Single-cell RNA sequencing reveals the effects of chemotherapy on human pancreatic adenocarcinoma and its tumor microenvironment	MDSC	S100A8; S100A9; S100A12		pancreatic-cancer chemotherapy study	SPP 1 + macrophage (SPP 1, MARCO ), C1QC + macrophage ( C1QA, C1QB, C1QC ), MDSC ( S100A8, S100A9, S100A12 ), monocyte ( FCGR3A, CDKN1C ), cDC1 ( CLEC9A, XCR1 ), cDC2 ( CD1C, FCER1A ), cDC3 ( CCL19, CCL22, CCR7 ), pDC ( LILRA4, PLD4 ), proliferating ( MKI67 ), mast ( KIT ), T ( CD3E ), epithelial-like ( KRT18, KRT19 ).	data/hca/manuscripts/0349_10.1038_s41467-023-36296-4_67ae3c1e19/manuscript.md	81	classical monocyte label versus MDSC disease-context label	S100A8/S100A9/S100A12 mark inflammatory/immature myeloid state.	cross-tissue immune atlas versus pancreatic-cancer chemotherapy study	CLASSICAL vs MDSC	P14
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Context distinction	high	relatedMatch	Labels are biologically related through markers or context but are not equivalent. Related mural-cell continuum, not necessarily same cell type pericyte label versus vascular smooth muscle label	Pericyte and vascular smooth muscle cell labels share contractile/mural markers ACTA2/TAGLN/RGS5. The relationship reflects the perivascular mural continuum and the ambiguity between cell type and contractile state.		1.0	hca:0205_10.1038_s41588-020-0636-z_f39ba80540	Lineage-dependent gene expression programs influence the immune landscape of colorectal cancer.	PERICYTE	ACTA2; RGS5; TAGLN	ACTA2; RGS5; TAGLN		tumor immune landscape	Pericytes were characterized by the coexpression of contractile genes ( TAGLN , ACTA2 ) and RGS5 (ref. 20 ); vascular smooth muscle cells by contractile and cytoskeletal gene expression ( TAGLN , ACTA2 , MYH11 , SYNPO2 , CNN1 and DES ) 21 ; and enteric glial cells by SOX10 , S100B and PLP1 (ref. 22 ) (Fig. 3b ).	data/hca/manuscripts/0205_10.1038_s41588-020-0636-z_f39ba80540/manuscript.md	96	hca:0210_10.1016_j.stem.2020.11.008_213dabcee4	Mapping Development of the Human Intestinal Niche at Single-Cell Resolution	VASCULAR SMOOTH MUSCLE CELL	ACTA2; RGS5; TAGLN		intestinal niche developmental atlas	The 47d cells were largely separate from other time points with the exception of an ACTA2 HI /TAGLN HI /RGS5 + population of vascular smooth muscle cells (VSMC)( Muhl et al., 2020 ) ( Figure 1D – E ).	data/hca/manuscripts/0210_10.1016_j.stem.2020.11.008_213dabcee4/manuscript.md	129	pericyte label versus vascular smooth muscle label	ACTA2/TAGLN/RGS5 mark mural/contractile cells and blur pericyte-SMC boundaries.	tumor immune landscape versus intestinal niche developmental atlas	PERICYTE vs VASCULAR SMOOTH MUSCLE CELL	P15
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Context distinction	high	relatedMatch	Labels are biologically related through markers or context but are not equivalent. Shared inflammatory/alarmin myeloid program, not same label MDSC label versus macrophage/disease-program label	MDSC and macrophage/disease programs are linked through S100A8/S100A9/S100A12 alarmin genes. This is a disease-context myeloid state rather than a simple identity match.		1.0	hca:0349_10.1038_s41467-023-36296-4_67ae3c1e19	Single-cell RNA sequencing reveals the effects of chemotherapy on human pancreatic adenocarcinoma and its tumor microenvironment	MDSC	S100A8; S100A9; S100A12	S100A8; S100A9; S100A12		pancreatic cancer chemotherapy	SPP 1 + macrophage (SPP 1, MARCO ), C1QC + macrophage ( C1QA, C1QB, C1QC ), MDSC ( S100A8, S100A9, S100A12 ), monocyte ( FCGR3A, CDKN1C ), cDC1 ( CLEC9A, XCR1 ), cDC2 ( CD1C, FCER1A ), cDC3 ( CCL19, CCL22, CCR7 ), pDC ( LILRA4, PLD4 ), proliferating ( MKI67 ), mast ( KIT ), T ( CD3E ), epithelial-like ( KRT18, KRT19 ).	data/hca/manuscripts/0349_10.1038_s41467-023-36296-4_67ae3c1e19/manuscript.md	81	hca:0460_10.1016_j.cell.2021.08.003_652ffcecb6	Spatially organized multicellular immune hubs in human colorectal cancer.	MACROPHAGE	S100A8; S100A9; S100A12		colorectal cancer immune hubs	MMRd cells showed higher activities of programs with genes in glycolysis (pM03), immune-activating alarmins such as S100A8/9/12 (pM16) and chemokines that attract monocytes and neutrophils (pM20).	data/hca/manuscripts/0460_10.1016_j.cell.2021.08.003_652ffcecb6/manuscript.md	421	MDSC label versus macrophage/disease-program label	S100A8/S100A9/S100A12 connect alarmin myeloid programs across contexts.	pancreatic cancer chemotherapy versus colorectal cancer immune hubs	MDSC vs MACROPHAGE	P16
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Context distinction	high	relatedMatch	Labels are biologically related through markers or context but are not equivalent. Naive/central-memory state relation, not exact identity naive CD4 T-cell label versus cluster-coded central-memory subcluster	Naive CD4 T cells and CT0b both express CCR7/SELL/TCF7/KLF2/LEF1; the CT0b context describes mostly central memory cells. This exposes the continuum between naive and central-memory labels.		1.0	hca:0366_10.1038_s41467-021-22164-6_097f05776f	Single-cell analyses of Crohn's disease tissues reveal intestinal intraepithelial T cells heterogeneity and altered subset distributions.	NAÏVE CD4+ T CELL	TCF7; CCR7; KLF2; LEF1; SELL	TCF7; CCR7; KLF2; LEF1; SELL		Crohn disease tissue study	Cells in cluster 3 corresponded to naïve CD4 + T cells expressing CCR7 (Fig. 1d ) , SELL, TCF7 , LEF1 , as well as KLF2 (Supplementary Fig. 2b, c ).	data/hca/manuscripts/0366_10.1038_s41467-021-22164-6_097f05776f/manuscript.md	14	hca:0480_10.1038_s41590-019-0398-x_7e5ee33388	The immune cell landscape in kidneys of patients with lupus nephritis	CT0B	TCF7; CCR7; KLF2; LEF1; SELL		lupus nephritis kidney immune landscape	Cluster CT0 could be further split into two subclusters, the first containing primarily effector memory CD4 + T cells (CT0a), with more frequent expression of PRDM1, CCL5 and CXCR6 , and the second consisting of mostly CCR7 + SELL + TCF7 + central memory T cells (CT0b; Fig 4d and Supplementary Fig. 4h ).	data/hca/manuscripts/0480_10.1038_s41590-019-0398-x_7e5ee33388/manuscript.md	38	naive CD4 T-cell label versus cluster-coded central-memory subcluster	CCR7/SELL/TCF7/KLF2/LEF1 span naive and central-memory T-cell states.	Crohn disease tissue study versus lupus nephritis kidney immune landscape	NAÏVE CD4+ T CELL vs CT0B	P17
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Context distinction	high	relatedMatch	Labels are biologically related through markers or context but are not equivalent. Naive/central-memory state relation, not exact identity naive T-cell label versus cluster-coded central-memory subcluster	Naive T cells and CT0b are linked by naive/central-memory markers. The source calls CT0b central memory, so this is a state-continuum relation rather than exact identity.		1.0	hca:0366_10.1038_s41467-021-22164-6_097f05776f	Single-cell analyses of Crohn's disease tissues reveal intestinal intraepithelial T cells heterogeneity and altered subset distributions.	NAÏVE T CELLS	TCF7; CCR7; KLF2; LEF1; SELL	TCF7; CCR7; KLF2; LEF1; SELL		Crohn disease tissue study	Cluster 3 corresponded to naïve T cells expressing CCR7 (Fig. 5d ) , LEF1, TCF7, SELL , and KLF2 (Supplementary Fig. 5a, c ).	data/hca/manuscripts/0366_10.1038_s41467-021-22164-6_097f05776f/manuscript.md	39	hca:0480_10.1038_s41590-019-0398-x_7e5ee33388	The immune cell landscape in kidneys of patients with lupus nephritis	CT0B	TCF7; CCR7; KLF2; LEF1; SELL		lupus nephritis kidney study	Cluster CT0 could be further split into two subclusters, the first containing primarily effector memory CD4 + T cells (CT0a), with more frequent expression of PRDM1, CCL5 and CXCR6 , and the second consisting of mostly CCR7 + SELL + TCF7 + central memory T cells (CT0b; Fig 4d and Supplementary Fig. 4h ).	data/hca/manuscripts/0480_10.1038_s41590-019-0398-x_7e5ee33388/manuscript.md	38	naive T-cell label versus cluster-coded central-memory subcluster	CCR7/SELL/TCF7/KLF2/LEF1 bridge naive and central-memory/resting T-cell states.	Crohn disease tissue study versus lupus nephritis kidney study	NAÏVE T CELLS vs CT0B	P18
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Context distinction	high	relatedMatch	Labels are biologically related through markers or context but are not equivalent. Related mesenchymal stem-like state within smooth muscle/stromal compartment cell-type label versus stem-like stromal-cell label	Smooth muscle cell and eMSC are linked by MCAM/SUSD2/PDGFRB, markers of endometrial mesenchymal stem-like cells. This suggests a stem-like mesenchymal state embedded in a smooth-muscle label.		1.0	hca:0422_10.1038_s41591-020-1040-z_d966e12866	Single-cell transcriptomic atlas of the human endometrium during the menstrual cycle.	SMOOTH MUSCLE CELL	MCAM; SUSD2; PDGFRB	MCAM; SUSD2; PDGFRB		endometrium menstrual-cycle atlas	Expression of PDGFRB , MCAM and SUSD2 (Extended Data Fig. 2f–h ) suggests that this smooth muscle cell type contains previously identified endometrial cells with mesenchymal stem cell characteristics 15 , 16 .	data/hca/manuscripts/0422_10.1038_s41591-020-1040-z_d966e12866/manuscript.md	52	hca:0486_10.1016_j.xfss.2022.09.001_c256ed6917	The single-cell atlas of cultured human endometrial stromal cells	EMSC	MCAM; SUSD2; PDGFRB		cultured endometrial stromal cells	Among them, eMSC has been successfully isolated using the mesenchymal stem cell marker MCAM/PDGFRB or SUSD2 and cultured in vitro ( 50 , 51 ).	data/hca/manuscripts/0486_10.1016_j.xfss.2022.09.001_c256ed6917/manuscript.md	219	cell-type label versus stem-like stromal-cell label	MCAM/SUSD2/PDGFRB point to endometrial mesenchymal stem/stromal identity.	endometrium menstrual-cycle atlas versus cultured endometrial stromal cells	SMOOTH MUSCLE CELL vs EMSC	P19
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Context distinction	low	broadMatch	Paper 2 label is broader than Paper 1 label. Same broad fibroblast lineage gene-qualified fibroblast subtype versus broad fibroblast cluster label	Fibroblast (COL1A1) and fibroblast clusters are both fibroblast labels anchored by extracellular matrix collagens. This is a subtype/broad-label naming difference.		1.0	biorxiv:d8ee72e2-7047-1014-a159-a9ef37bce7a4	Characterizing intra- and inter-tumor heterogeneity in Ovarian high-grade serous carcinoma subtypes using single-cell and spatial transcriptomics	FIBROBLAST (COL1A1)	COL1A1; COL1A2; COL3A1	COL1A1; COL1A2; COL3A1		ovarian tumor heterogeneity	Clusters 11 and 16 showed expression of college subunits including COL1A1, COL1A2 and COL3A1, with cluster 16 additionally expressing FN1 and EBF1, and hence were classified as Fibroblast (COL1A1) and Fibroblast (FN1), respectively.	data/biorxiv/meca/d8ee72e2-7047-1014-a159-a9ef37bce7a4/manuscript.md	256	biorxiv:eda68d46-7b76-1014-b9f8-bf62f9afae8d	Gene-Expression Programs in Salivary Gland Adenoid Cystic Carcinoma Analyzed Using Single-Cell and Spatial Transcriptomics	FIBROBLAST CLUSTERS	COL1A1; COL1A2; COL3A1		salivary gland adenoid cystic carcinoma	Fibroblast clusters were annotated by notable expression of extracellular matrix-related genes including COL1A1, COL3A1, and COL1A2.	data/biorxiv/meca/eda68d46-7b76-1014-b9f8-bf62f9afae8d/manuscript.md	86	gene-qualified fibroblast subtype versus broad fibroblast cluster label	COL1A1/COL1A2/COL3A1 identify extracellular-matrix fibroblast profiles.	ovarian tumor heterogeneity versus salivary gland adenoid cystic carcinoma	FIBROBLAST (COL1A1) vs FIBROBLAST CLUSTERS	P20
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Context distinction	medium	relatedMatch	Labels are biologically related through markers or context but are not equivalent. Related resting T-cell states naive T-cell label versus central-memory label	Naive T cell and TCM share CCR7/SELL/TCF7/LEF1. The bridge captures the shared resting/central-memory axis, not necessarily identical T-cell states.		1.0	biorxiv:1fa7b83f-6da7-1014-a69d-d257852e8dd1	Single-cell atlas of tumor clonal evolution in liver cancer	NAÏVE T CELL	TCF7; CCR7; LEF1; SELL	TCF7; CCR7; LEF1; SELL		liver cancer clonal evolution	We also evaluated each T cell subtype by using the 4 well-defined naïve T cell markers (CCR7, LEF1, SELL, TCF7), 12 cytotoxic markers (PRF1, IFNG, GNLY, NKG7, GZMB, GZMA, GZMH, KLRK1, KLRB1, KLRD1, CTSW, CST7) as well as T-cell exhaustion marker genes (Figures S4D and S4G) (Guo et al., 2018).	data/biorxiv/meca/1fa7b83f-6da7-1014-a69d-d257852e8dd1/manuscript.md	192	biorxiv:96c0ca44-7598-1014-bd6e-c97aae1f298a	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	TCM	TCF7; CCR7; LEF1; SELL		tumor/immune-checkpoint study	In the CD4+ T cell compartment, naïve-like T cells (TN, CD4_cluster0) and central memory T cells (TCM, CD4_cluster1) expressing SELL, TCF7, LEF1, and CCR7 genes or tissue-resident memory T cells (TRM, CD4_clusters3, 5, 6) expressing NR4A1, MYADM, and PTGER4 genes were abundant in most samples.	data/biorxiv/meca/96c0ca44-7598-1014-bd6e-c97aae1f298a/manuscript.md	76	naive T-cell label versus central-memory label	CCR7/SELL/TCF7/LEF1 are shared by naive and central-memory T-cell programs.	liver cancer clonal evolution versus tumor/immune-checkpoint study	NAÏVE T CELL vs TCM	P21
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Context distinction	medium	broadMatch	Paper 2 label is broader than Paper 1 label. Same broad naive/memory state at different granularity specific naive T-cell label versus grouped naive/memory annotation	Naive T cell and naive/memory are essentially different granularities of the same naive/memory marker program.		1.0	biorxiv:1fa7b83f-6da7-1014-a69d-d257852e8dd1	Single-cell atlas of tumor clonal evolution in liver cancer	NAÏVE T CELL	TCF7; CCR7; LEF1; SELL	TCF7; CCR7; LEF1; SELL		liver cancer clonal evolution	We also evaluated each T cell subtype by using the 4 well-defined naïve T cell markers (CCR7, LEF1, SELL, TCF7), 12 cytotoxic markers (PRF1, IFNG, GNLY, NKG7, GZMB, GZMA, GZMH, KLRK1, KLRB1, KLRD1, CTSW, CST7) as well as T-cell exhaustion marker genes (Figures S4D and S4G) (Guo et al., 2018).	data/biorxiv/meca/1fa7b83f-6da7-1014-a69d-d257852e8dd1/manuscript.md	192	hca:0163_10.1126_sciimmunol.abb4432_91494cf647	Heterogeneity and clonal relationships of adaptive immune cells in ulcerative colitis revealed by single-cell analyses.	NAÏVE/MEMORY	TCF7; CCR7; LEF1; SELL		ulcerative-colitis adaptive immune-cell atlas	Seven clusters (T3, T4, T6, T9, T11, T12, and T17) with high expression of SELL (CD62L), CCR7, LEF1 , and TCF7 expression were annotated as naïve/memory.	data/hca/manuscripts/0163_10.1126_sciimmunol.abb4432_91494cf647/manuscript.md	207	specific naive T-cell label versus grouped naive/memory annotation	CCR7/SELL/TCF7/LEF1 define resting naive/memory state.	liver cancer clonal evolution versus ulcerative-colitis adaptive immune-cell atlas	NAÏVE T CELL vs NAÏVE/MEMORY	P22
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Context distinction	medium	narrowMatch	Paper 2 label is narrower than Paper 1 label. Related mesenchymal stem/stromal identity in different tissue systems generic MSC label versus tendon-derived stem-cell label	Mesenchymal stem cell and hTDSC share CD44/CD90/CD105. The relationship maps a general MSC marker panel onto tendon-derived stem cells.		1.0	biorxiv:2439b48c-6d2d-1014-8b64-9f8fdc0d5fe9	In vitro culture of aberrant basal-like cells from fibrotic lung tissue	MESENCHYMAL STEM CELL	CD44; CD105; CD90	CD44; CD105; CD90		fibrotic lung basal-like cell culture	We observed expression of mesenchymal stem cell markers, as described previously [15]: CD44 was highly expressed, whereas CD90 (THY1) and CD105 (ENG) were expressed at lower levels (Figure 2 A).	data/biorxiv/meca/2439b48c-6d2d-1014-8b64-9f8fdc0d5fe9/manuscript.md	81	biorxiv:e78eaa01-6c93-1014-839e-bb3dc2108ab1	Experimental study of modified human tendon stem cells to promote graft ligamentation and tendon-bone healing after anterior cruciate ligament reconstruction	HTDSCS	CD44; CD105; CD90		tendon stem-cell engineering study	The specific surface markers CD44, CD90 and CD105 of hTDSCs were detected, and the positive rates were 99.24% ± 0.15%, 99.52% ± 1.52% and 89.81% ± 2.7%, respectively (Figure 1B).	data/biorxiv/meca/e78eaa01-6c93-1014-839e-bb3dc2108ab1/manuscript.md	135	generic MSC label versus tendon-derived stem-cell label	CD44/CD90/CD105 are common mesenchymal stem/stromal markers.	fibrotic lung basal-like cell culture versus tendon stem-cell engineering study	MESENCHYMAL STEM CELL vs HTDSCS	P23
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Context distinction	medium	closeMatch	Labels are close but context or granularity prevents exact equivalence. Same pluripotency state/identity class generic pluripotent label versus iPSC label	Pluripotent and iPSC labels are linked by canonical pluripotency markers NANOG/SOX2/POU5F1. This is a shared developmental state rather than a conflicting cell type.		1.0	biorxiv:48122146-7aab-1014-a240-edfb3f67c90f	Human pluripotent stem cell model of multiple epiphyseal dysplasia with MATN3 mutation identifies altered Matrix organisation and upregulation of the cholesterol biosynthesis pathway	PLURIPOTENT	NANOG; SOX2; POU5F1	NANOG; SOX2; POU5F1		pluripotent stem-cell disease model	The changes in gene expression are consistent with a loss of pluripotency (e.g. decreased POU5F1, NANOG, SOX2) and a gain of mesenchymal (e.g. increased CD44, NT5E, ENG and ALCAM) phenotype (Figure 2B).	data/biorxiv/meca/48122146-7aab-1014-a240-edfb3f67c90f/manuscript.md	67	biorxiv:f29672cc-6d87-1014-b915-87fbd4bb053f	Population-scale single-cell RNA-seq profiling across dopaminergic neuron differentiation	IPSC	NANOG; SOX2; POU5F1		dopaminergic-neuron differentiation profiling	We identified 5 clusters, all but one of which expressed similarly high levels of core pluripotency markers (NANOG, SOX2, POU5F1, Supplementary Fig. 6a,b; Methods).	data/biorxiv/meca/f29672cc-6d87-1014-b915-87fbd4bb053f/manuscript.md	88	generic pluripotent label versus iPSC label	NANOG/SOX2/POU5F1 define core pluripotency.	pluripotent stem-cell disease model versus dopaminergic-neuron differentiation profiling	PLURIPOTENT vs IPSC	P24
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Context distinction	medium	broadMatch	Paper 2 label is broader than Paper 1 label. Same resting memory/naive axis at different granularity TCM label versus grouped naive/memory annotation	TCM and naive/memory share CCR7/SELL/TCF7/LEF1; the broader HCA label groups several clusters under naive/memory.		1.0	biorxiv:96c0ca44-7598-1014-bd6e-c97aae1f298a	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	TCM	TCF7; CCR7; LEF1; SELL	TCF7; CCR7; LEF1; SELL		tumor/immune checkpoint study	In the CD4+ T cell compartment, naïve-like T cells (TN, CD4_cluster0) and central memory T cells (TCM, CD4_cluster1) expressing SELL, TCF7, LEF1, and CCR7 genes or tissue-resident memory T cells (TRM, CD4_clusters3, 5, 6) expressing NR4A1, MYADM, and PTGER4 genes were abundant in most samples.	data/biorxiv/meca/96c0ca44-7598-1014-bd6e-c97aae1f298a/manuscript.md	76	hca:0163_10.1126_sciimmunol.abb4432_91494cf647	Heterogeneity and clonal relationships of adaptive immune cells in ulcerative colitis revealed by single-cell analyses.	NAÏVE/MEMORY	TCF7; CCR7; LEF1; SELL		ulcerative-colitis adaptive immune-cell atlas	Seven clusters (T3, T4, T6, T9, T11, T12, and T17) with high expression of SELL (CD62L), CCR7, LEF1 , and TCF7 expression were annotated as naïve/memory.	data/hca/manuscripts/0163_10.1126_sciimmunol.abb4432_91494cf647/manuscript.md	207	TCM label versus grouped naive/memory annotation	CCR7/SELL/TCF7/LEF1 define central-memory/naive-like state.	tumor/immune checkpoint study versus ulcerative-colitis adaptive immune-cell atlas	TCM vs NAÏVE/MEMORY	P25
Different labels, exact marker match (J=1)	Different labels	Exact marker match (J=1)	Context distinction	medium	broadMatch	Paper 2 label is broader than Paper 1 label. Likely same naive-like state abbreviation/granularity TN abbreviation versus grouped naive/memory annotation	TN and naive/memory share the same naive markers; this is abbreviation/granularity rather than a distinct biological conflict.		1.0	biorxiv:96c0ca44-7598-1014-bd6e-c97aae1f298a	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	TN	TCF7; CCR7; LEF1; SELL	TCF7; CCR7; LEF1; SELL		tumor/immune checkpoint study	In the CD4+ T cell compartment, naïve-like T cells (TN, CD4_cluster0) and central memory T cells (TCM, CD4_cluster1) expressing SELL, TCF7, LEF1, and CCR7 genes or tissue-resident memory T cells (TRM, CD4_clusters3, 5, 6) expressing NR4A1, MYADM, and PTGER4 genes were abundant in most samples.	data/biorxiv/meca/96c0ca44-7598-1014-bd6e-c97aae1f298a/manuscript.md	76	hca:0163_10.1126_sciimmunol.abb4432_91494cf647	Heterogeneity and clonal relationships of adaptive immune cells in ulcerative colitis revealed by single-cell analyses.	NAÏVE/MEMORY	TCF7; CCR7; LEF1; SELL		ulcerative-colitis adaptive immune-cell atlas	Seven clusters (T3, T4, T6, T9, T11, T12, and T17) with high expression of SELL (CD62L), CCR7, LEF1 , and TCF7 expression were annotated as naïve/memory.	data/hca/manuscripts/0163_10.1126_sciimmunol.abb4432_91494cf647/manuscript.md	207	TN abbreviation versus grouped naive/memory annotation	CCR7/SELL/TCF7/LEF1 drive naive/resting T-cell match.	tumor/immune checkpoint study versus ulcerative-colitis adaptive immune-cell atlas	TN vs NAÏVE/MEMORY	P26
