project_id	dataset_id	dataset_name	organism	n_labelsets	n_labels_with_markers	n_marker_records	n_unique_groups	n_unique_features	markers_path
789	2186	Human lymph node slices cultured with and without ex vivo stimulation by liposomal TLR4 and QS-21 adjuvant	homo_sapiens	1	18	103	18	74	data/cell_annotation_platform/datasets/project_789_dataset_2186_human-lymph-node-slices-cultured-with-and-without-ex-vivo-stimulation-by-liposom/markers.json
789	2185	Human lymph nodes with partial T and B cell depletion	homo_sapiens	1	16	88	16	68	data/cell_annotation_platform/datasets/project_789_dataset_2185_human-lymph-nodes-with-partial-t-and-b-cell-depletion/markers.json
588	1326	Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.5)	homo_sapiens	2	64	385	58	282	data/cell_annotation_platform/datasets/project_588_dataset_1326_single-nucleus-rna-seq-of-the-adult-human-kidney-version-1-5/markers.json
588	1327	Single-cell RNA-seq of the Adult Human Kidney (Version 1.5)	homo_sapiens	2	41	254	39	209	data/cell_annotation_platform/datasets/project_588_dataset_1327_single-cell-rna-seq-of-the-adult-human-kidney-version-1-5/markers.json
803	2376	Whole Mouse Brain Taxonomy, Habenula glutamatergic neurons	mus_musculus	4	46	148	46	90	data/cell_annotation_platform/datasets/project_803_dataset_2376_whole-mouse-brain-taxonomy-habenula-glutamatergic-neurons/markers.json
803	2361	Whole Mouse Brain Taxonomy, Medulla neurons	mus_musculus	4	939	2869	939	834	data/cell_annotation_platform/datasets/project_803_dataset_2361_whole-mouse-brain-taxonomy-medulla-neurons/markers.json
803	2374	Whole Mouse Brain Taxonomy, non_neuronal	mus_musculus	4	188	503	188	284	data/cell_annotation_platform/datasets/project_803_dataset_2374_whole-mouse-brain-taxonomy-non-neuronal/markers.json
803	2375	Whole Mouse Brain Taxonomy, Midbrain neurons	mus_musculus	4	1467	4931	1467	1100	data/cell_annotation_platform/datasets/project_803_dataset_2375_whole-mouse-brain-taxonomy-midbrain-neurons/markers.json
803	2370	Whole Mouse Brain Taxonomy, Near and corticothalamic projecting cortical glutamatergic neurons	mus_musculus	4	118	408	118	206	data/cell_annotation_platform/datasets/project_803_dataset_2370_whole-mouse-brain-taxonomy-near-and-corticothalamic-projecting-cortical-glutamat/markers.json
803	2366	Whole Mouse Brain Taxonomy, Lateral septal complex GABAergic neurons	mus_musculus	4	190	707	190	306	data/cell_annotation_platform/datasets/project_803_dataset_2366_whole-mouse-brain-taxonomy-lateral-septal-complex-gabaergic-neurons/markers.json
803	2362	Whole Mouse Brain Taxonomy, Olfactory-bulb/immature GABAergic neurons	mus_musculus	4	142	463	142	247	data/cell_annotation_platform/datasets/project_803_dataset_2362_whole-mouse-brain-taxonomy-olfactory-bulb-immature-gabaergic-neurons/markers.json
803	2369	Whole Mouse Brain Taxonomy, Pallium GABAergic interneurons	mus_musculus	4	274	978	274	399	data/cell_annotation_platform/datasets/project_803_dataset_2369_whole-mouse-brain-taxonomy-pallium-gabaergic-interneurons/markers.json
803	2364	Whole Mouse Brain Taxonomy, Cerebellar neurons	mus_musculus	4	62	169	62	100	data/cell_annotation_platform/datasets/project_803_dataset_2364_whole-mouse-brain-taxonomy-cerebellar-neurons/markers.json
803	2372	Whole Mouse Brain Taxonomy, Hypothalamic neurons	mus_musculus	4	976	3179	976	878	data/cell_annotation_platform/datasets/project_803_dataset_2372_whole-mouse-brain-taxonomy-hypothalamic-neurons/markers.json
803	2365	Whole Mouse Brain Taxonomy, Thalamic excitatory neurons	mus_musculus	4	156	566	156	255	data/cell_annotation_platform/datasets/project_803_dataset_2365_whole-mouse-brain-taxonomy-thalamic-excitatory-neurons/markers.json
803	2371	Whole Mouse Brain Taxonomy, Pons neurons	mus_musculus	4	632	1958	632	697	data/cell_annotation_platform/datasets/project_803_dataset_2371_whole-mouse-brain-taxonomy-pons-neurons/markers.json
803	2373	Whole Mouse Brain Taxonomy, Dentate-Gyrus /immature glutamatergic neurons	mus_musculus	4	25	75	25	54	data/cell_annotation_platform/datasets/project_803_dataset_2373_whole-mouse-brain-taxonomy-dentate-gyrus-immature-glutamatergic-neurons/markers.json
803	2367	Whole Mouse Brain Taxonomy, Cerebral nuclei neurons	mus_musculus	4	1073	3737	1073	959	data/cell_annotation_platform/datasets/project_803_dataset_2367_whole-mouse-brain-taxonomy-cerebral-nuclei-neurons/markers.json
803	2368	Whole Mouse Brain Taxonomy, Intra-and extratelencephalic projecting cortical glutamatergic neurons	mus_musculus	4	530	1929	529	689	data/cell_annotation_platform/datasets/project_803_dataset_2368_whole-mouse-brain-taxonomy-intra-and-extratelencephalic-projecting-cortical-glut/markers.json
803	2363	Whole Mouse Brain Taxonomy, Olfactory bulb and Cajal Retzius neurons	mus_musculus	4	24	60	24	35	data/cell_annotation_platform/datasets/project_803_dataset_2363_whole-mouse-brain-taxonomy-olfactory-bulb-and-cajal-retzius-neurons/markers.json
618	1437	All cells from human liver dataset	homo_sapiens	1	17	164	17	161	data/cell_annotation_platform/datasets/project_618_dataset_1437_all-cells-from-human-liver-dataset/markers.json
861	2708	Reinisch MHUO 2025 — abdominal visceral adipose tissue	homo_sapiens	1	13	17	13	14	data/cell_annotation_platform/datasets/project_861_dataset_2708_reinisch-mhuo-2025-abdominal-visceral-adipose-tissue/markers.json
861	2709	Reinisch MHUO 2025 — abdominal subcutaneous adipose tissue	homo_sapiens	1	11	14	11	12	data/cell_annotation_platform/datasets/project_861_dataset_2709_reinisch-mhuo-2025-abdominal-subcutaneous-adipose-tissue/markers.json
861	2710	Reinisch MHNO 2025 — abdominal subcutaneous adipose tissue	homo_sapiens	1	9	11	9	9	data/cell_annotation_platform/datasets/project_861_dataset_2710_reinisch-mhno-2025-abdominal-subcutaneous-adipose-tissue/markers.json
861	2711	Reinisch MHNO 2025 — abdominal visceral adipose tissue	homo_sapiens	1	13	18	13	15	data/cell_annotation_platform/datasets/project_861_dataset_2711_reinisch-mhno-2025-abdominal-visceral-adipose-tissue/markers.json
862	2712	Hinte NEFA 2024 — abdominal subcutaneous adipose tissue	homo_sapiens	1	8	14	8	14	data/cell_annotation_platform/datasets/project_862_dataset_2712_hinte-nefa-2024-abdominal-subcutaneous-adipose-tissue/markers.json
862	2713	Hinte LTSS 2024 — abdominal visceral adipose tissue	homo_sapiens	1	18	26	18	20	data/cell_annotation_platform/datasets/project_862_dataset_2713_hinte-ltss-2024-abdominal-visceral-adipose-tissue/markers.json
862	2714	Hinte MTSS 2024 — abdominal visceral adipose tissue	homo_sapiens	1	18	26	18	20	data/cell_annotation_platform/datasets/project_862_dataset_2714_hinte-mtss-2024-abdominal-visceral-adipose-tissue/markers.json
862	2715	Hinte LTSS 2024 — abdominal subcutaneous adipose tissue	homo_sapiens	1	13	19	13	15	data/cell_annotation_platform/datasets/project_862_dataset_2715_hinte-ltss-2024-abdominal-subcutaneous-adipose-tissue/markers.json
872	2739	Lazarescu 2025 — abdominal visceral adipose tissue	homo_sapiens	1	12	18	12	16	data/cell_annotation_platform/datasets/project_872_dataset_2739_lazarescu-2025-abdominal-visceral-adipose-tissue/markers.json
872	2740	Lazarescu 2025 — abdominal subcutaneous adipose tissue	homo_sapiens	1	10	14	10	12	data/cell_annotation_platform/datasets/project_872_dataset_2740_lazarescu-2025-abdominal-subcutaneous-adipose-tissue/markers.json
868	2726	Massier 2023 — abdominal subcutaneous and omental adipose tissue	homo_sapiens	1	7	43	7	43	data/cell_annotation_platform/datasets/project_868_dataset_2726_massier-2023-abdominal-subcutaneous-and-omental-adipose-tissue/markers.json
609	1408	Cross-species Spinal Cord Atlas: GABAergic	mixed	4	0	0	0	0	data/cell_annotation_platform/datasets/project_609_dataset_1408_cross-species-spinal-cord-atlas-gabaergic/markers.json
895	2828	Emont 2022 — abdominal subcutaneous and visceral adipose tissue	homo_sapiens	1	16	18	16	16	data/cell_annotation_platform/datasets/project_895_dataset_2828_emont-2022-abdominal-subcutaneous-and-visceral-adipose-tissue/markers.json
885	2789	Single-nucleus RNA-seq of Asian Skeletal Muscle Reveals Ancestry-specific Regulatory Programs Across Metabolic States	homo_sapiens	1	11	62	11	61	data/cell_annotation_platform/datasets/project_885_dataset_2789_single-nucleus-rna-seq-of-asian-skeletal-muscle-reveals-ancestry-specific-regula/markers.json
909	2913	snRNAseq on trained and untrained human skeletal muscle from healthy donors	homo_sapiens	1	6	11	6	8	data/cell_annotation_platform/datasets/project_909_dataset_2913_snrnaseq-on-trained-and-untrained-human-skeletal-muscle-from-healthy-donors/markers.json
915	2926	Human intercostal skeletal muscle aging atlas (scRNA-seq and snRNA-seq, young vs aged)	homo_sapiens	1	43	212	43	177	data/cell_annotation_platform/datasets/project_915_dataset_2926_human-intercostal-skeletal-muscle-aging-atlas-scrna-seq-and-snrna-seq-young-vs-a/markers.json
927	2980	Subcutaneous, omental, mesenteric, mesocolic, and epiploic adipose tissue (Jalkanen et al., 2026, Cell Met)	homo_sapiens	1	7	61	7	59	data/cell_annotation_platform/datasets/project_927_dataset_2980_subcutaneous-omental-mesenteric-mesocolic-and-epiploic-adipose-tissue-jalkanen-e/markers.json
928	2981	Abdominal subcutaneous adipose tissue (Loft et al., 2026, Nature Met)	homo_sapiens	1	9	18	9	18	data/cell_annotation_platform/datasets/project_928_dataset_2981_abdominal-subcutaneous-adipose-tissue-loft-et-al-2026-nature-met/markers.json
544	1154	snRNA-seq of human retina - bipolar cell subset	homo_sapiens	1	14	55	14	55	data/cell_annotation_platform/datasets/project_544_dataset_1154_snrna-seq-of-human-retina-bipolar-cell-subset/markers.json
544	1156	snRNA-seq of human retina - all cells	homo_sapiens	1	114	1046	114	566	data/cell_annotation_platform/datasets/project_544_dataset_1156_snrna-seq-of-human-retina-all-cells/markers.json
544	1152	Single cell atlas of the human retina - all cells - scRNA-seq	homo_sapiens	1	18	33	18	28	data/cell_annotation_platform/datasets/project_544_dataset_1152_single-cell-atlas-of-the-human-retina-all-cells-scrna-seq/markers.json
544	1157	Single cell atlas of the human retina - Bipolar cell subclass - scRNA-seq	homo_sapiens	2	15	16	15	14	data/cell_annotation_platform/datasets/project_544_dataset_1157_single-cell-atlas-of-the-human-retina-bipolar-cell-subclass-scrna-seq/markers.json
544	1155	snRNA-seq of human retina - amacrine cell subset	homo_sapiens	1	89	890	89	456	data/cell_annotation_platform/datasets/project_544_dataset_1155_snrna-seq-of-human-retina-amacrine-cell-subset/markers.json
544	1153	snRNA-seq of human retina - retinal ganglion cell subset	homo_sapiens	1	11	101	11	101	data/cell_annotation_platform/datasets/project_544_dataset_1153_snrna-seq-of-human-retina-retinal-ganglion-cell-subset/markers.json
574	1241	Single cell atlas of the human trabecular meshwork and ciliary body - snRNA-seq	homo_sapiens	1	18	53	18	51	data/cell_annotation_platform/datasets/project_574_dataset_1241_single-cell-atlas-of-the-human-trabecular-meshwork-and-ciliary-body-snrna-seq/markers.json
574	1242	Single cell atlas of the human trabecular meshwork and ciliary body - scRNA-seq	homo_sapiens	1	19	59	19	58	data/cell_annotation_platform/datasets/project_574_dataset_1242_single-cell-atlas-of-the-human-trabecular-meshwork-and-ciliary-body-scrna-seq/markers.json
604	1375	human lung organoid cell atlas	homo_sapiens	2	12	32	11	27	data/cell_annotation_platform/datasets/project_604_dataset_1375_human-lung-organoid-cell-atlas/markers.json
604	1374	human endoderm organoid cell atlas	homo_sapiens	2	53	156	52	145	data/cell_annotation_platform/datasets/project_604_dataset_1374_human-endoderm-organoid-cell-atlas/markers.json
604	1373	human intestine organoid cell atlas	homo_sapiens	2	31	112	30	103	data/cell_annotation_platform/datasets/project_604_dataset_1373_human-intestine-organoid-cell-atlas/markers.json
580	1265	The Human Neural Organoid Atlas	homo_sapiens	3	30	65	20	34	data/cell_annotation_platform/datasets/project_580_dataset_1265_the-human-neural-organoid-atlas/markers.json
621	1490	snRNA-seq of human optic nerve and optic nerve head - endothelial cells	homo_sapiens	1	7	15	7	12	data/cell_annotation_platform/datasets/project_621_dataset_1490_snrna-seq-of-human-optic-nerve-and-optic-nerve-head-endothelial-cells/markers.json
621	1489	snRNA-seq of human optic nerve and optic nerve head - all cells	homo_sapiens	1	84	193	84	139	data/cell_annotation_platform/datasets/project_621_dataset_1489_snrna-seq-of-human-optic-nerve-and-optic-nerve-head-all-cells/markers.json
565	1209	Single Cell Atlas of Human Ocular Surface snRNA-seq: Cornea, Limbus, Sclera	homo_sapiens	1	26	260	26	214	data/cell_annotation_platform/datasets/project_565_dataset_1209_single-cell-atlas-of-human-ocular-surface-snrna-seq-cornea-limbus-sclera/markers.json
565	1208	Single Cell Atlas of Human Ocular Surface scRNA-seq: Cornea, Limbus, Sclera	homo_sapiens	1	31	310	31	237	data/cell_annotation_platform/datasets/project_565_dataset_1208_single-cell-atlas-of-human-ocular-surface-scrna-seq-cornea-limbus-sclera/markers.json
621	1491	snRNA-seq of human optic nerve and optic nerve head - fibroblasts	homo_sapiens	1	8	22	8	16	data/cell_annotation_platform/datasets/project_621_dataset_1491_snrna-seq-of-human-optic-nerve-and-optic-nerve-head-fibroblasts/markers.json
684	1780	An integrated cell atlas of the human lung in health and disease (core)	homo_sapiens	1	55	255	55	161	data/cell_annotation_platform/datasets/project_684_dataset_1780_an-integrated-cell-atlas-of-the-human-lung-in-health-and-disease-core/markers.json
901	2855	HCA Gut Cell Atlas v1 Stromal Lineage	homo_sapiens	1	35	104	35	94	data/cell_annotation_platform/datasets/project_901_dataset_2855_hca-gut-cell-atlas-v1-stromal-lineage/markers.json
901	2857	HCA Gut Cell Atlas v1 Lymphoid Lineage	homo_sapiens	1	36	128	36	104	data/cell_annotation_platform/datasets/project_901_dataset_2857_hca-gut-cell-atlas-v1-lymphoid-lineage/markers.json
901	2856	HCA Gut Cell Atlas v1 Epithelial Lineage	homo_sapiens	1	30	146	30	112	data/cell_annotation_platform/datasets/project_901_dataset_2856_hca-gut-cell-atlas-v1-epithelial-lineage/markers.json
901	2854	HCA Gut Cell Atlas v1 Myeloid Lineage	homo_sapiens	1	12	59	12	57	data/cell_annotation_platform/datasets/project_901_dataset_2854_hca-gut-cell-atlas-v1-myeloid-lineage/markers.json
901	2858	Human Gut Cell Atlas (HGCA) v1 - All Cells	homo_sapiens	1	102	413	102	341	data/cell_annotation_platform/datasets/project_901_dataset_2858_human-gut-cell-atlas-hgca-v1-all-cells/markers.json
645	1566	Human liver cell atlas - mesenchyme cells	homo_sapiens	1	5	20	5	16	data/cell_annotation_platform/datasets/project_645_dataset_1566_human-liver-cell-atlas-mesenchyme-cells/markers.json
645	1570	Human liver cell atlas - hepatocyte cells	homo_sapiens	1	7	23	7	23	data/cell_annotation_platform/datasets/project_645_dataset_1570_human-liver-cell-atlas-hepatocyte-cells/markers.json
645	1565	Human liver cell atlas - cholangiocyte cells	homo_sapiens	1	5	18	5	12	data/cell_annotation_platform/datasets/project_645_dataset_1565_human-liver-cell-atlas-cholangiocyte-cells/markers.json
645	1567	Human liver cell atlas - myeloid cells	homo_sapiens	1	13	46	13	45	data/cell_annotation_platform/datasets/project_645_dataset_1567_human-liver-cell-atlas-myeloid-cells/markers.json
645	1568	Human liver cell atlas - lymphocyte cells	homo_sapiens	1	12	32	12	24	data/cell_annotation_platform/datasets/project_645_dataset_1568_human-liver-cell-atlas-lymphocyte-cells/markers.json
621	1488	snRNA-seq of human optic nerve and optic nerve head - astrocytes	homo_sapiens	1	6	13	6	13	data/cell_annotation_platform/datasets/project_621_dataset_1488_snrna-seq-of-human-optic-nerve-and-optic-nerve-head-astrocytes/markers.json
645	1569	Human liver cell atlas - endothelia cells	homo_sapiens	1	8	22	8	21	data/cell_annotation_platform/datasets/project_645_dataset_1569_human-liver-cell-atlas-endothelia-cells/markers.json
934	3015	Human Adipose Tissue Atlas v1.0 — Abdominal Subcutaneous WAT	homo_sapiens	2	49	186	46	107	data/cell_annotation_platform/datasets/project_934_dataset_3015_human-adipose-tissue-atlas-v1-0-abdominal-subcutaneous-wat/markers.json
934	3019	Human Adipose Tissue Atlas v1.0 — Abdominal Visceral WAT	homo_sapiens	2	51	192	47	110	data/cell_annotation_platform/datasets/project_934_dataset_3019_human-adipose-tissue-atlas-v1-0-abdominal-visceral-wat/markers.json
934	3020	Human Adipose Tissue Atlas v1.0 — Adipocytes	homo_sapiens	2	2	4	1	2	data/cell_annotation_platform/datasets/project_934_dataset_3020_human-adipose-tissue-atlas-v1-0-adipocytes/markers.json
934	3021	Human Adipose Tissue Atlas v1.0 — All cells	homo_sapiens	2	51	192	47	110	data/cell_annotation_platform/datasets/project_934_dataset_3021_human-adipose-tissue-atlas-v1-0-all-cells/markers.json
934	3018	Human Adipose Tissue Atlas v1.0 — Cervical Subcutaneous WAT	homo_sapiens	2	49	186	46	107	data/cell_annotation_platform/datasets/project_934_dataset_3018_human-adipose-tissue-atlas-v1-0-cervical-subcutaneous-wat/markers.json
934	3013	Human Adipose Tissue Atlas v1.0 — Vascular cells	homo_sapiens	2	8	37	8	17	data/cell_annotation_platform/datasets/project_934_dataset_3013_human-adipose-tissue-atlas-v1-0-vascular-cells/markers.json
934	3012	Human Adipose Tissue Atlas v1.0 — ASPCs	homo_sapiens	2	6	20	6	11	data/cell_annotation_platform/datasets/project_934_dataset_3012_human-adipose-tissue-atlas-v1-0-aspcs/markers.json
934	3014	Human Adipose Tissue Atlas v1.0 — Mesothelial cells	homo_sapiens	2	2	6	1	3	data/cell_annotation_platform/datasets/project_934_dataset_3014_human-adipose-tissue-atlas-v1-0-mesothelial-cells/markers.json
934	3017	Human Adipose Tissue Atlas v1.0 — Myeloid cells	homo_sapiens	2	17	66	16	48	data/cell_annotation_platform/datasets/project_934_dataset_3017_human-adipose-tissue-atlas-v1-0-myeloid-cells/markers.json
934	3016	Human Adipose Tissue Atlas v1.0 — Lymphoid cells	homo_sapiens	2	15	58	14	32	data/cell_annotation_platform/datasets/project_934_dataset_3016_human-adipose-tissue-atlas-v1-0-lymphoid-cells/markers.json
947	3057	snRNA-seq of the human retinal pigment epithelium and the choroid - endothelial cells	homo_sapiens	1	5	17	5	12	data/cell_annotation_platform/datasets/project_947_dataset_3057_snrna-seq-of-the-human-retinal-pigment-epithelium-and-the-choroid-endothelial-ce/markers.json
947	3055	snRNA-seq of the human retinal pigment epithelium and the choroid - all cells	homo_sapiens	1	49	93	49	57	data/cell_annotation_platform/datasets/project_947_dataset_3055_snrna-seq-of-human-of-the-human-retinal-pigment-epithelium-and-the-choroid-all-c/markers.json
947	3052	scRNA-seq of the human retinal pigment epithelium and the choroid	homo_sapiens	1	27	61	27	51	data/cell_annotation_platform/datasets/project_947_dataset_3052_scrna-seq-of-the-human-retinal-pigment-epithelium-and-the-choroid/markers.json
947	3054	snRNA-seq of the human retinal pigment epithelium and the choroid	homo_sapiens	1	36	81	36	58	data/cell_annotation_platform/datasets/project_947_dataset_3054_snrna-seq-of-the-human-retinal-pigment-epithelium-and-the-choroid/markers.json
947	3056	snRNA-seq of the human retinal pigment epithelium and the choroid - stromal cells	homo_sapiens	1	15	34	15	20	data/cell_annotation_platform/datasets/project_947_dataset_3056_snrna-seq-of-the-human-retinal-pigment-epithelium-and-the-choroid-stromal-cells/markers.json
947	3053	snRNA-seq of the human retinal pigment epithelium and the choroid - retinal pigment epithelial cells	homo_sapiens	1	5	15	5	7	data/cell_annotation_platform/datasets/project_947_dataset_3053_snrna-seq-of-the-human-retinal-pigment-epithelium-and-the-choroid-retinal-pigmen/markers.json
