study	source_type	rank
Shamis	text	127
Shamis	text	95
Shamis	text	21
Shamis	text	9
Shamis	text	110
Shamis	text	91
Shamis	text	8
Shamis	text	30
Shamis	text	32
Shamis	text	53
Shamis	text	34
Shamis	text	21
Shamis	text	8
Shamis	text	145
